"question_no","question","1","2","3","4"
"32.","निम्नलिखित में से ग़लत मिलान को पहचानिए-","3 फरवरी - विश्व वेटलैंड्स दिवस विश्व कैंसर दिवस","4 फरवरी - विश्व कैंसर दिवस","2 फरवरी - रुमेटॉइड आर्थराइटिस जागरूकता दिवस","6 फरवरी - महिला जननांग विकृति के प्रति शून्य सहनशीलता का अंतर्राष्ट्रीय दिवस"
"33.","बार्ट डी वेवर ने किस देश के नए प्रधानमंत्री के रूप में शपथ ली है?","ब्राज़ील","बेल्जियम","जर्मनी","फ्रांस"
"34.","ट्रुथटेल हैकाथॉन चैलेंज की घोषणा किसके द्वारा किया गया है?","सूचना एवं प्रसारण मंत्रालय","संस्कृति मंत्रालय","गृह मंत्रालय","शिक्षा मंत्रालय"
"35.","भारत ने वर्ष 2025 के लिए संयुक्त राष्ट्र के नियमित बजट में कितना का योगदान दिया है?","32.64 मिलियन डॉलर","37.64 मिलियन डॉलर","47.64 मिलियन डॉलर","57.64 मिलियन डॉलर"
"36.","दुनिया में सबसे बड़ा मोबाइल विनिर्माण करने वाला देश कौन बन गया है?","भारत","चीन","अमेरिका","ताइवान"
"37.","4 फरवरी को मनाए जाने वाले विश्व कैंसर दिवस 2025 का विषय क्या है?","कैंसर के खिलाफ लड़ाई","सभी के लिए कैंसर जागरूकता","यूनाइटेड बाय यूनिक","कैंसर मुक्त दुनिया"
"38.","एआई एवरीथिंग ग्लोबल सम्मेलन का आयोजन कहाँ किया गया है?","रियाद","कतर","शारजाह","अबू धाबी"
"39.","राष्ट्रपति डोनाल्ड ट्रम्प ने फरवरी 2025 में किस अंतर्राष्ट्रीय संगठन से संयुक्त राज्य अमेरिका के हटने की घोषणा की?","विश्व स्वास्थ्य संगठन (WHO)","संयुक्त राष्ट्र शैक्षिक, वैज्ञानिक और सांस्कृतिक संगठन (यूनेस्को)","संयुक्त राष्ट्र मानवाधिकार परिषद (UNHRC)","अंतर्राष्ट्रीय मुद्रा कोष (IMF)"
"40.","किस राज्य में स्थित 'पीएमश्री गवर्मेंट सीनियर सेकेंडरी स्कूल' को मिला ग्रीन स्कूल रेटिंग का पुरस्कार दिया गया है ?","सिक्किम","केरल","असम","गोवा"
"41.","दिल्ली में कितने साल बाद भाजपा की सत्ता में वापसी हो रही है?","27 साल","28 साल","23 साल","20 साल"
"42.","बिम्सटेक युवा शिखर सम्मेलन 2025 का आयोजन 7 से 11 फरवरी 2025 तक में होगा।","दिल्ली","भुबनेश्वर","गांधीनगर","जयपुर"
"43.","थिएटर लेवल ऑपरेशनल एक्सरसाइज (ट्रोपेक्स) 2025 का उद्देश्य क्या है?","भारतीय नौसेना के मुख्य युद्ध कौशल को मान्य करना","साइबर सिक्योरिटी के सुधार","व्यापार मार्गों की सुरक्षा","नागरिक सुरक्षा की क्षमता बढ़ाने के लिए"
"44.","केंद्रीय मंत्रिमंडल ने राष्ट्रीय सफाई कर्मचारी आयोग (NCSK) के कार्यकाल को कितने साल के लिए बढ़ा दिया है?","3","4","5","6"
"45.","केंद्र सरकार ने किन 3 कौशल विकास की योजनाओं को मिलाकर एक स्किल इंडिया प्रोग्राम बनाने का फैसला किया है, जो एक केंद्रीय योजना होगी?","प्रधानमंत्री कौशल विकास योजना 4.0 (PMKVVY 4.0)","प्रधानमंत्री नेशनल अप्रेंटिस प्रमोशन स्कीम (PM-NAPS)","जन शिक्षण संस्थान (JSS) योजना","all three"
"46.","इंटरनेशनल क्रिकेट काउंसिल यानी ICC ने 7 फरवरी को चैंपियंस ट्रॉफी 2025 का कौन सा ऑफिशियल सॉन्ग रिलीज किया?","जीतो बाजी खेल के","जीत लो खेल","क्रिकेट का महाकुंभ","चैम्पियन का जलवा"
"47.","पाकिस्तान फुटबॉल फेडरेशन को फ़ीफ़ा ने क्यों निलंबित किया है?","संविधान में संशोधन करने में विफलता के कारण","खिलाड़ियों के दुर्व्यवहार के कारण","खेल मैदानों को मानकों को पूरा नहीं करने के कारण","टूर्नामेंट में नहीं खेलने के कारण"
"48.","संयुक्त राष्ट्र महासभा के 79वें सत्र के अध्यक्ष कौन हैं जो फरवरी 2025 में भारत की यात्रा पर आए हैं?","एंटोनियो गुटेरेस","फिलेमोन यांग","बान की मून","कोफी अन्नान"
"49.","हाल ही में, किस राज्य की सरकार ने भारत की पहली AI University बनाने की घोषणा की है?","महाराष्ट्र","राजस्थान","गुजरात","कर्नाटक"
"50.","मिसेज वर्ल्ड 2025 की विजेता त्सेगो गेलई किस देश का प्रतिनिधित्व करती हैं?","Sri Lanka","United States","South Africa","Thailand"
"51.","सूर्य नमस्कार': किस राज्य की शिक्षा विभाग ने नया विश्व रिकॉर्ड बनाया है?","सिक्किम","केरल","असम","राजस्थान"
"52.","रक्षा मंत्रालय ने भारतीय सेना के पिनाका मल्टी-लॉन्चर रॉकेट सिस्टम के लिए किसके साथ की दो बड़ी डील पर साइन किए हैं?","इकोनॉमिक एक्सप्लोसिव्स लिमिटेड","भारत डायनामिक्स लिमिटेड","भेल","डीआरडीओ"
"53.","किस केंद्रीय मंत्री ने हाइब्रिड मोड में राष्ट्रीय स्तर के जन संपर्क अभियान 'वाटरशेड यात्रा' का शुभारंभ किया है ?","गजेंद्र सिंह शेखावत","शिवराज सिंह चौहान","गिरिराज सिंह","अमित शाह"
"54.","किस राज्य ने 'बेटी बचाओ बेटी पढ़ाओ' योजना के तहत ""निर्भया कढ़ी"" (निडर कली), ""मो गेल्हा जिया"" (मेरी प्यारी बेटी), ""कल्पना अभिजान"", ""स्वर्ण कालिका"" और ""वीरांगना योजना"" लागू की है?","झारखंड","ओडिशा","असम","राजस्थान"
"55.","16 फरवरी से इंटरनेशनल बर्ड फेस्टिवल का आयोजन कहाँ किया जाएगा ?","prayagraj","अयोध्या","नई दिल्ली","मुंबई"
"56.","भारत ने सौर ऊर्जा उत्पादन क्षमता को कितना बढ़ा कर एक ऐतिहासिक उपलब्धि हासिल की है?","50 गीगावाट","100 गीगावाट","300 गीगावाट","400 गीगावाट"
"57.","भारतीय कला इतिहास कांग्रेस के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 1. भारतीय कला इतिहास कांग्रेस का 32वां सत्र नोएडा में शुरू हो रहा है। 2. प्रधानमंत्री नरेंद्र मोदी तीन दिवसीय कार्यक्रम का उद्घाटन करेंगे। 3. इस वर्ष के आयोजन का विषय है-“कला और संस्कृति में भारतीय महाकाव्यों का योगदान”। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 3","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"58.","करीब पांच वर्ष बाद भारतीय रिजर्व बैंक ने नीतिगत रेपो रेट में कटौती कर कितना कर दिया है?","6.50%","6.25%","3.35%","6%"
"59.","डिजिटल फ्रॉड रोकने के लिए 'बैंकडॉटइन' और 'फिनडॉटइन' डोमेन कि शुरुआत किसने किया है ?","सेबी","आरबीआई","IREDA","NOTA"
"60.","ने 6 फरवरी को चीन के AI चैटबॉट DeepSeek को सभी सरकारी डिवाइसेज से बैन कर दिया है।","ऑस्ट्रेलिया","भारत","जापान","अमेरिका"
"61.","अंतर्राष्ट्रीय चर्म एक्सपो (डीआईएलईएक्स) 2025 का आयोजन कहाँ किया गया है?","अहमदाबाद","अयोध्या","नई दिल्ली","मुंबई"
"62.","“शतावरी – बेहतर स्वास्थ्य के लिए” अभियान की शुरुआत किस मंत्रालय द्वारा किया गया है?","ayush mantralay","संस्कृति मंत्रालय","गृह मंत्रालय","शिक्षा मंत्रालय"
"63.","सेना की पूर्वी कमान के मुख्यालय 'फोर्ट विलियम' का नाम बदलकर क्या कर दिया गया है ?","वैभव दुर्ग","विजय दुर्ग","सिंधु दुर्ग","रवि दुर्ग"
"64.","IT मंत्री अश्विनी वैष्णव ने किस कंपनी के CEO सैम अल्टमैन से मुलाकात की है?","OpenAI","DeepSeek","Generative ai","Blackbox ai"
"65.","किस देश से भारत को S-400 एयर डिफेंस सिस्टम का चौथा स्क्वाड्रन साल 2025 के अंत तक मिल सकता है?","फ्रांस","रूस","जापान","अमेरिका"
"66.","किस देश की पार्लियामेंट ने सख्त घृणा - विरोधी अपराध कानून पारित किया है?","australia","रूस","जापान","अमेरिका"
"67.","किस देश में पुरुषों, ट्रांसजेंडर महिलाओं तथा लड़कियों को महिला वर्ग के खेलों में भाग लेने से रोकने संबंधी आदेश लागू हुआ है?","फ्रांस","रूस","जापान","अमेरिका"
"68.","किस देश ने अंतर्राष्ट्रीय अपराध न्यायालय पर प्रतिबंध लगाने से संबंधित कार्यकारी आदेश पर लागू कर दिया है ?","फ्रांस","रूस","जापान","अमेरिका"
"69.","भारत किस वर्ष चंद्रयान-4 मिशन लॉन्च करेगा?","2025","2026","2027","2028"
"70.","जनजाति संस्कृतिक समागम-2025 का आयोजन कहाँ पर शुरू हुआ है?","अयोध्या","प्रयागराज","नई दिल्ली","मुंबई"
"71.","हाल ही में अमेरिका के बाद अब किस देश ने भी WHO से बाहर निकलने का फैसला किया है?","अर्जेंटीना","फ्रांस","रूस","जापान"
"72.","पाकिस्तान चीन के चांग' ए-8 चंद्र मिशन में शामिल हुआ। यह मिशन वर्ष प्रक्षेपित किया जाएगा?","2025","2026","2027","2028"
"73.","किस देश के वैज्ञानिकों ने एक ऐतिहासिक सफलता हासिल करते हुए पहली बार इन विट्रो फर्टिलाइजेशन (IVF) तकनीक का उपयोग करके कंगारू भ्रूणतैयार किए हैं?","ऑस्ट्रेलिया","रूस","जापान","अमेरिका"
"74.","किस देश ने आधिकारिक रूप से चीन की बेल्ट एंड रोड इनिशिएटिव (BRI) से बाहर होने की घोषणा की है ?","रूस","जापान","अमेरिका","पनामा"
"75.","एकीकृत स्वास्थ्य समाधान के लिए यूनानी चिकित्सा में नवाचार - आगे का रास्ता” विषय के साथ यूनानी दिवस कब मनाया गया?","11 फरवरी","12 फरवरी","13 फरवरी","14 फरवरी"
"76.","अगले AI एक्शन समिट की मेजबानी कौन सा देश करेगा?","फ्रांस","भारत","जापान","अमेरिका"
"77.","भारत ऊर्जा सप्ताह 2025 का उद्घाटन किसने किया है?","जगदीप धनकर","द्रौपदी मुरमू","श्री नरेन्द्र मोदी","अमित शाह"
"78.","भारत और किस देश के बीच संयुक्त विशेष बल अभ्यास साइक्लोन का तीसरा संस्करण राजस्थान के महाजन फील्ड फायरिंग रेंज में शुरू हुआ?","miasra","कतर","कुवैत","सऊदी अरब"
"79.","लोकसभा अध्यक्ष ने संसद में कितनी ई भाषाओं में अनुवाद सेवाओं के विस्तार की घोषणा की है?","5","6","7","8"
"80.","विश्व सरकार शिखर सम्मेलन में वैश्विक उत्कृष्ट एम-गाँव पुरस्कार-2025 में भारत ने कौन सा पुरस्कार जीता है?","स्वर्ण पदक","रजत पदक","कांस्य पदक","NOTA"
"81.","आईसीसी 'डोनेट ऑर्गन सेव लाइफ्स' (Donate Organs, Save Lives) पहल का आयोजन कहाँ किया गया है?","दिल्ली","अहमदाबाद","मुंबई","चेन्नई"
"82.","ओलंपिक ईस्पोर्ट्स गेम्स 2027 का आयोजन कहाँ किया जाएगा?","सऊदी अरब","संयुक्त अरब एमिरेट्स","भारत","अमेरिका"
"83.","एयरो इंडिया 2025 के 15वें संस्करण का उद्घाटन किसके द्वारा किया गया है?","जगदीप धनकर","द्रौपदी मुरमू","श्री नरेन्द्र मोदी","राजनाथ सिंह"
"84.","अमरीका के राष्ट्रपति डोनाल्ड ट्रम्प ने स्टील और एल्युमीनियम आयात पर कितना प्रतिशत शुल्क लगाने के आदेश पर हस्ताक्षर किए हैं?","10%","15%","20%","25%"
"85.","केन्द्रीय मंत्री डॉ. जितेन्द्र सिंह ने सृजनम का शुभारंभ किया है, यह क्या है?","जैव अपशिष्ट कचरा निस्तारण उपकरण","वायु प्रदूषण निस्तारण उपकरण","परमाणु कचरा निस्तारण उपकरण","ठोस अपशिष्ट कचरा निस्तारण उपकरण"
"86.","संयुक्त सैन्य अभ्यास ‘विंग्ड रेडर' में किसने भाग लिया है?","भारतीय थल सेना","भारतीय वायु सेना","भारतीय तटरक्षक बल","1&2 दोनों"
"87.","केंद्रीय स्वास्थ्य मंत्री श्री जगत प्रकाश नड्डा ने लिम्फेटिक फाइलेरिया के उन्मूलन के लिए इस बीमारी से चिन्हित राज्यों मैं राष्ट्रीय सार्वजनिक औषधि वितरण अभियान का शुभारंभ किया है।","10","11","12","13"
"88.","प्रधानमंत्री नरेन्द्र मोदी ने कहा है कि भारत और अमरीका ने वर्ष 2030 तक द्विपक्षीय व्यापार को दोगुना कर कितना करने का निर्णय लिया है?","200 अरब डॉलर","300 अरब डॉलर","400 अरब डॉलर","500 अरब डॉलर"
"89.","मानवयुक्त पनडुब्बी मत्स्य 6000 किया जा रहा है विकसित, तक बनने की संभावना है।","2025","2026","2027","2028"
"90.","पांच दिवसीय पूर्वोत्तर एकता महोत्सव का आयोजन 15 फरवरी से कहाँ होने जा रहा है ?","गुवाहाटी","दिल्ली","मुंबई","कोलकाता"
"91.","पंकज आडवाणी ने 36वीं बार राष्ट्रीय बिलियर्ड्स खिताब जीता लिया है। उनका संबंध किस खेल से है ?","टेनिस","स्नूकर","निशानेबाजी","बैडमिंटन"
"92.","खेल उद्योग समाचार साइट स्पोर्टिको के अनुसार, 2024 में दुनिया में सबसे अधिक वेतन पाने वाला एथलीट कौन था?","क्रिस्टियानो रोनाल्डो","स्टीफन करी","टायसन फ्यूरी","लियोनेल मेस्सी"
"93.","भ्रष्टाचार धारणा सूचकांक (CPI) के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 1. भारत 38 के स्कोर के साथ 96वें स्थान पर है। 2. इसे गैर-सरकारी संगठन ट्रांसपेरेंसी इंटरनेशनल द्वारा वर्ष 1995 से प्रतिवर्ष प्रकाशित किया जाता है। 3. भारत के पड़ोसियों में पाकिस्तान (135), श्रीलंका (121) और बांग्लादेश (149) की रैंकिंग सबसे खराब रही, जबकि चीन 76वें स्थान पर रहा। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 3","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"94.","संयुक्त राज्य अमेरिका और भारत के बीच सौदे में कौन सा उन्नत लड़ाकू जेट शामिल है?","F-16 फाइटिंग फाल्कन","F-22 रैप्टर","F-35 लाइटनिंग II","F/A-18 सुपर हॉर्नेट"
"95.","‘रेडियो और जलवायु परिवर्तन' विषय पर विश्व रेडियो दिवस (WRD) कब मनाया गया?","11 फरवरी","12 फरवरी","13 फरवरी","14 फरवरी"
"96.","फरवरी 2025 में प्रधानमंत्री मोदी ने फ्रांस में किस नए राजनयिक मिशन का उद्घाटन किया?","ल्योन में भारतीय दूतावास","मार्सिले में भारतीय वाणिज्य दूतावास","बोर्डो में भारतीय व्यापार कार्यालय","नीस में भारतीय सांस्कृतिक केंद्र"
"97.","भारत ने किस देश के साथ नवाचार वर्ष 2026 की शुरुआत की और हिंद-प्रशांत क्षेत्र में सहयोग को और मजबूत किया है?","फ्रांस","यूक्रेन","यूएसए","जर्मनी"
"98.","भविष्य की सरकारों को आकार देना' विषय के साथ 12वें विश्व सरकार शिखर सम्मेलन का आयोजन कहाँ किया है?","मुंबई","दुबई","अबूधाबी","ओमान"
"99.","14वां एशियाई मत्स्य पालन और जलीय कृषि फोरम की बैठक, 12-14 फरवरी 2025 तक कहाँ आयोजित किया गया ?","मुंबई","नई दिल्ली","जयपुर","अहमदाबाद"
"100.","किस देश ने दक्षिण चीन सागर के गहरे पानी में पहले 'अंतरिक्ष केन्द्र' के निर्माण को स्वीकृति दे दी है?","चीन","ताइवान","ब्रुनेई","फिलीपींस"
"101.","गंगारामया नवम पेराहेरा वार्षिक उत्सव का आयोजन कहाँ किया जा रहा है?","मलेशिया","फिलीपींस","श्रीलंका","बांग्लादेश"
"102.","हाल ही में गुइलेन-बैरे सिंड्रोम ख़बरों में था, इससे मानव शरीर में कैसा परिवर्तन आता है?","मस्तिष्क कमजोर होने लगती है।","हड्डियां कमजोर होने लगती है।","मांसपेशी कमजोर होने लगती है।","शरीर की नसें कमजोर होने लगती है।"
"103.","भारत का मुख्य चुनाव आयुक्त (सीईसी) किसे नियुक्त किया गया है?","विवेक जोशी","ज्ञानेश कुमार","मनीष कौशिक सिंह","राजीव कुमार"
"104.","म्युचुअल क्रेडिट गारंटी योजना के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 1. केंद्र सरकार ने बड़े उद्योग स्थापित करने के लिए यह योजना शुरू की है 2. प्रधानमंत्री ने योजना की शुरुआत मुंबई से योजना की शुरुआत की है। 3. इसके अंतर्गत उद्यमी को प्लांट और मशीनरी के लिए 100 करोड़ रुपये तक कर्ज प्राप्त कर सकते हैं। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 3","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"105.","मत्स्य-6000 ने देश की किस पीढ़ी की गहरे समुद्र में चलने वाली पनडुब्बी का परीक्षण पूरा कर लिया है?","प्रथम","द्वितीय","तृतीय","चौथे"
"106.","ब्रिटिश अकादमी फिल्म पुरस्कार 2025 के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 1. कॉन्क्लेव' को सर्वश्रेष्ठ फिल्म के लिए पुरस्कार मिला। 2. 'एमिलिया पेरेज' ने सर्वश्रेष्ठ विदेशी भाषा की फिल्म का पुरस्कार जीता। 3. एड्रियन ब्रॉडी ने 'द ब्रूटलिस्ट' के लिए और मिकी मैडिसन ने 'अनोरा' के लिए सर्वश्रेष्ठ अभिनेता और अभिनेत्री का खिताब जीता है। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 3","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"107.","'नो मनी फॉर टेरर"" विषय पर चौथे मंत्रिस्तरीय सम्मेलन में भारत का नेतृत्व किसने किया है ?","अमित शाह","गिरिराज सिंह","नित्यानद राय","जी किशन रेड्डी"
"108.","'नक्शा' पायलट कार्यक्रम का शुभारंभ किसने किया है?","अमित शाह","गिरिराज सिंह","शिवराज सिंह चौहान","जी किशन रेड्डी"
"109.","'मलेशिया खाद्य एवं सांस्कृतिक महोत्सव-2025' का भव्य शुभारंभ कहाँ हुआ है?","जयपुर","मुंबई","भुबनेश्वर","नई दिल्ली"
"110.","स्पोर्टस्टार एसेस अवार्ड्स 2025 ने स्पोर्टस्टार ऑफ द ईयर पुरुष और महिला किसे चुना है?","पीआर श्रीजेश और मनु भाकर","प्रवीण कुमार और मनु भाकर","पीआर श्रीजेश और स्मिता मांधना","जसप्रीत बुमराह और मनु भाकर"
"111.","एशियाई शीतकालीन खेल 2025 में कौनसा देश शीर्ष पर रहा?","भारत","चीन","नेपाल","मलेशिया"
"112.","राष्ट्रीय जनजातीय महोत्सव 'आदि महोत्सव' का उद्घाटन किसने किया है?","जगदीप धनकर","द्रौपदी मुरमू","श्री नरेन्द्र मोदी","राजनाथ सिंह"
"113.","इंटरनेशनल फ्लीट रिव्यू 2025 और बहुपक्षीय नौसैनिक अभ्यास कोमोडो में भाग लेने के लिए किस देश में पहुँचा है?","इंडोनेशिया","मलेशिया","थाईलैंड","ओमान"
"114.","भारत और के बीच संयुक्त सैन्य अभ्यास 'धर्म गार्जियन (संरक्षक)' का छठा संस्करण 25 फरवरी से 9 मार्च तक आयोजित किया जाएगा।","जापान","इंडोनेशिया","मलेशिया","थाईलैंड"
"115.","8वां हिंद महासागर सम्मेलन इंडिया फाउंडेशन द्वारा कहाँ आयोजित किया जा रहा है?","इंडोनेशिया","मलेशिया","थाईलैंड","ओमान"
"116.","किस कंपनी ने 50,000 किलोमीटर की लंबाई के अंडरसी केबल प्रोजेक्ट 'वाटरवर्थ' का ऐलान किया है?","मेटा","गूगल","माइक्रोसॉफ्ट","ऐपल"
"117.","यूनाइटेड नेशंस ग्लोबल कॉम्पैक्ट नेटवर्क इंडिया (UN GCNI) द्वारा 'फॉरवर्ड फास्टर सस्टेनेबिलिटी अवार्ड 2025' से किसे सम्मानित किया गया है?","सेल","गेल","एनटीपीसी","इसरो"
