question_no,question,1,2,3,4,correct_answer
20, "Who was appointed as the president of the SC Bar Association?", "Kapil Sibal", "Anurag Batra", "Kareena Kapoor", "Mikhail Mishustin", "Kapil Sibal"
21, "Which Bollywood actress became the National Ambassador for UNICEF India?", "Deepika Padukone", "Kareena Kapoor", "Alia Bhatt", "Priyanka Chopra", "Kareena Kapoor"
22, "Which movie won the Best Film award at the 69th National Film Awards?", "RRR", "Rocketry: The Nambi Effect", "Pushpa", "Gangubai Kathiawadi", "Rocketry: The Nambi Effect"
23, "Which actor won the Best Actor award at the 69th National Film Awards?", "Ranbir Kapoor", "Allu Arjun", "Shah Rukh Khan", "Rajinikanth", "Allu Arjun"
24, "Who was the first woman to become DGP of Meghalaya?", "Idashisha Nongran", "Kiran Bedi", "Sonia Narang", "Durga Shakti Nagpal", "Idashisha Nongran"
25, "Who won the 2024 International Booker Prize?", "Arundhati Roy", "Michael Hofmann", "Jenny Erpenbeck", "Naomi Klein", "Jenny Erpenbeck"
26, "Where is India's first female jury member for the Summer Olympics from?", "Haryana", "Jammu and Kashmir", "Delhi", "Uttar Pradesh", "Jammu and Kashmir"
27, "What is the name of the newly inaugurated national park by the Indian Army in Pune?", "Constitution Park", "Freedom Park", "Warrior Park", "Unity Park", "Constitution Park"
28, "Which state recently launched 'Nakshastra Sabha', an astrotourism campaign?", "Uttarakhand", "Himachal Pradesh", "Maharashtra", "Gujarat", "Uttarakhand"
29, "Which country ranked 1st in the World Press Freedom Index 2024?", "India", "Norway", "Denmark", "Sweden", "Norway"
30, "What is the rank of India in the World Economic Forum’s Energy Transition Index 2024?", "1st", "63rd", "100th", "40th", "63rd"
31, "Which IIT ranked 1st in India in the QS World University Rankings 2024?", "IIT Delhi", "IIT Bombay", "IIT Kanpur", "IIT Madras", "IIT Bombay"
32, "Who won the Laureus Male Player of the Year award 2024?", "Novak Djokovic", "Rafael Nadal", "Carlos Alcaraz", "Roger Federer", "Novak Djokovic"
33, "Which state became the first to have a police drone city?", "Delhi", "Tamil Nadu", "Karnataka", "Chennai", "Tamil Nadu"
34, "Who was appointed as the Prime Minister of Portugal?", "Pedro Sanchez", "Luis Montenegro", "Boris Johnson", "Justin Trudeau", "Luis Montenegro"
35, "Which Indian film won the Grand Prix award at the 77th Cannes Film Festival?", "Jawan", "Pathaan", "All We Imagine is Light", "RRR", "All We Imagine is Light"
36, "Who is the new DG of the Bureau of Police Research and Development?", "Rajeev Kumar Sharma", "Ajit Doval", "Sanjay Bhalla", "Kiran Bedi", "Rajeev Kumar Sharma"
37, "Which country won the Sultan Azlan Shah Cup 2024?", "India", "Japan", "Malaysia", "Pakistan", "Japan"
38, "Who was awarded the Whitley Gold Award in 2024?", "Purnima Devi Barman", "Ravi Kannan", "Alok Shukla", "Naima Khatoon", "Purnima Devi Barman"
39, "Who won the prestigious Shaw Prize in Astronomy 2024?", "Shrinivas R. Kulkarni", "Stephen Hawking", "Roger Penrose", "Subrahmanyan Chandrasekhar", "Shrinivas R. Kulkarni"
40, "Which organization awarded Kapil Sibal the 'President of SC Bar Association' title?", "UNICEF", "Supreme Court", "Bar Association of India", "International Bar Association", "Supreme Court"
41, "Which initiative was launched by Punjab to combat drug supply?", "Nishchay Mission", "Drug-Free Punjab", "Mission Nischay", "Narcotics Free India", "Mission Nischay"
42, "Which organization is responsible for the Energy Transition Index?", "World Bank", "United Nations", "World Economic Forum", "International Energy Agency", "World Economic Forum"
43, "Where was the G20 Summit 2024 held?", "New Delhi", "Bali", "London", "Rome", "New Delhi"
44, "Which female gymnast won gold at the 2024 Asian Women’s Gymnastics Championships?", "Dipa Karmakar", "Simone Biles", "Jyoti Rathe", "Nayana James", "Dipa Karmakar"
45, "Who became the first Indian to win the 3-Star Grand Prix Equestrian event?", "Shruti Vora", "Rohan Bopanna", "Arjun Erigasi", "Virat Kohli", "Shruti Vora"
46, "Where was the world’s first AI anchor introduced?", "USA", "India", "UK", "China", "India"
47, "Which Indian state launched the Naya Savera Scheme?", "Rajasthan", "Maharashtra", "Uttar Pradesh", "None of the above", "None of the above"
48, "Which state launched the Booth Rabta campaign?", "Punjab", "Gujarat", "Delhi", "Madhya Pradesh", "Punjab"
49, "Which Indian state launched the CDP-Suraksha platform?", "Uttar Pradesh", "Bihar", "Rajasthan", "None of the above", "None of the above"
50, "Who became the 1st Indian woman jury member at the Summer Olympics?", "Bilquis Mir", "Saina Nehwal", "P.T. Usha", "Dipa Karmakar", "Bilquis Mir"
