question_no,question,1,2,3,4,correct_ans
135, "Who is the Chairman of the IRDAI?", "Ajit Doval", "Debashish Panda", "Kapil Sibal", "P.K. Mishra", "Debashish Panda"
136, "Which state launched 'Mission Nischay' to combat drug supply?", "Punjab", "Haryana", "Karnataka", "Madhya Pradesh", "Punjab"
137, "Who won the prestigious Shaw Prize in Astronomy 2024?", "Roger Penrose", "Subrahmanyan Chandrasekhar", "Shrinivas R. Kulkarni", "Peter Higgs", "Shrinivas R. Kulkarni"
138, "Who is the current Prime Minister of Portugal?", "Luis Montenegro", "Pedro Sanchez", "Justin Trudeau", "Angela Merkel", "Luis Montenegro"
139, "Which country won the Superbet Rapid & Blitz Poland Chess Tournament 2024?", "India", "Russia", "USA", "Norway", "Norway"
140, "Which gymnast won gold at the 2024 Asian Women’s Gymnastics Championships?", "Dipa Karmakar", "Simone Biles", "Nayana James", "Jyoti Rathe", "Dipa Karmakar"
141, "Who won the Laureus Male Player of the Year award 2024?", "Novak Djokovic", "Lionel Messi", "Cristiano Ronaldo", "Roger Federer", "Novak Djokovic"
142, "Who became the first Indian to win the 3-Star Grand Prix Equestrian event?", "Shruti Vora", "Neeraj Chopra", "Virat Kohli", "Vijender Singh", "Shruti Vora"
143, "Which Indian film won the Grand Prix award at the 77th Cannes Film Festival?", "Pathaan", "All We Imagine is Light", "RRR", "Pushpa", "All We Imagine is Light"
144, "What is the rank of India in the World Economic Forum’s Energy Transition Index 2024?", "1st", "40th", "63rd", "100th", "63rd"
145, "Which state launched the ‘Booth Rabta’ campaign to bridge the gap between voters and election authorities?", "Punjab", "Uttar Pradesh", "Delhi", "Madhya Pradesh", "Punjab"
146, "Which state launched the 'Mukhymantri Majhi Ladki Behan' scheme?", "Maharashtra", "Uttar Pradesh", "Rajasthan", "Madhya Pradesh", "Maharashtra"
147, "Who was reappointed as the Prime Minister of Russia in 2024?", "Vladimir Putin", "Mikhail Mishustin", "Dmitry Medvedev", "Alexei Navalny", "Mikhail Mishustin"
148, "Which organization released the 2024 World Press Freedom Index?", "World Bank", "Reporters Without Borders", "United Nations", "UNESCO", "Reporters Without Borders"
149, "Who won the prestigious International Booker Prize 2024?", "Jenny Erpenbeck", "Michael Hofmann", "Alok Shukla", "Naomi Klein", "Jenny Erpenbeck"
150, "Who was appointed as the Chief of Personnel of the Indian Navy?", "Ajit Doval", "Sanjay Bhalla", "P.K. Mishra", "Kapil Sibal", "Sanjay Bhalla"
