"question_no","question","1","2","3","4"
"17","'नया बांग्लादेश दिवस' कब मनाया जाएगा?","4 अगस्त","5 अगस्त","6 अगस्त","8 अगस्त"
"18","25वीं मध्य क्षेत्रीय परिषद की बैठक 24 जून 2025 को कहाँ आयोजित की गई?","देहरादून","वाराणसी","भोपाल","पुणे"
"19","किस वर्ष भारत विश्व पुलिस और अग्निशमन खेलों की मेजबानी करेगा?","2026","2027","2028","2029"
"20","खेलो इंडिया यूनिवर्सिटी गेम्स का यह पांचवां संस्करण का आयोजन कहाँ होगा?","देहरादून","वाराणसी","भोपाल","जयपुर"
"21","वैश्विक शांति सूचकांक 2025 के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 1. भारत ने 163 देशों में 115वां स्थान प्राप्त किया है, और इसका GPI स्कोर 2.229 है। 2. आइसलैंड, आयरलैंड और न्यूज़ीलैंड इस सूचकांक में शीर्ष तीन देश है। 3. रूस और यूक्रेन क्रमशः 163 और 164 स्थान पर है। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 2","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"22","10वें सस्टेनेबल डेवलपमेंट रिपोर्ट के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 1. यह रिपोर्ट यूएन सस्टेनेबल डेवलपमेंट सॉल्यूशन नेटवर्क द्वारा जारी किया जाता है। 2. भारत 2025 एसडीजी इंडेक्स में 67 अंकों के साथ 99वें स्थान पर है। 3. फ़िनलैंड, स्वीडन और डेनमार्क शीर्ष तीन देश है। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 2","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"23","कैबिनेट ने में अंतर्राष्ट्रीय आलू केंद्र की स्थापना को दी मंजूरी दे दिया है।","जयपुर","आगरा","निजामाबाद","गाजियाबाद"
"24","अमेरिका द्वारा ""ऑपरेशन मिडनाइट हैमर” के बाद किस देश ने अंतर्राष्ट्रीय परमाणु ऊर्जा एजेंसी (आईएईए) के साथ सहयोग निलंबित करने वाले विधेयक को मंजूरी दे दी है।","इसराइल","रूस","यूक्रेन","ईरान"
"25","थीम 'शंघाई भावना को बनाए रखना : SCO गतिशीलता की ओर' के साथ sco रक्षा मंत्रियों की बैठक कहाँ हुई है?","उज़्बेकिस्तान","चीन","भारत","बांग्लादेश"
"26","संविधान हत्या दिवस कब मनाया गया है?","25 जून","27 जून","28 जून","29 जून"
"27","दोनों टेस्ट पारियों में शतक लगाने वाले पहले भारतीय विकेटकीपर कौन बन गए हैं?","एंडी फ्लावर","केएल राहुल","ऋषभ पंत","संजू सैमसन"
"28","अगस्त 2023 से जुलाई 2024 तक राष्ट्रपति द्रौपदी मुर्मु के भाषणों के संकलन “विंग्स टू आवर होप्स-वॉल्यूम 2” नामक पुस्तक का विमोचन किसने किया है?","अश्विनी वैष्णव","डॉ. एल. मुरुगन","राजनाथ सिंह","निर्मला सीतारमण"
"29","NASA के स्पेस प्रोग्राम को पूरा करने वाली पहली भारतीय जाह्नवी डांगेती का संबंध किस राज्य से है?","अरुणाचल प्रदेश","आंध्र प्रदेश","केरला","बिहार"
"30","'मुख्यमंत्री कन्या विवाह मंडप योजना' को मंजूरी किस राज्य में दी गई है?","अरुणाचल प्रदेश","आंध्र प्रदेश","केरला","बिहार"
"31","""लेट्स मूव” थीम के साथ अंतर्राष्ट्रीय ओलंपिक दिवस कब मनाया गया है?","23 जून","27 जून","28 जून","29 जून"
"32","और फ्रांस की सेनाओं के बीच संयुक्त युद्धाभ्यास 'शक्ति' का यह आठवां संस्करण फ्रांस के कैंप लारजैक, ला कावेलरी में हुआ है।","चीन","यूएसए","इजराइल","भारत"
"33","'नव्या'-युवा किशोरियों के लिए व्यावसायिक प्रशिक्षण के ज़रिए आकांक्षाओं का पोषण कार्यक्रम का शुभारंभ किस मंत्रालय ने किया है?","महिला एवं बाल विकास मंत्रालय (एमडब्ल्यूसीडी)","कौशल विकास और उद्यमिता मंत्रालय (एमएसडीई)","उद्योग मंत्रालय","A और B"
"34","मिजोरम और गोवा के बाद पूर्ण कार्यात्मक साक्षरता हासिल करने वाला भारत का तीसरा राज्य बन गया है।","सिक्किम","असम","अरुणाचल प्रदेश","त्रिपुरा"
"35","अंबुबाची मेला का आयोजन कहाँ हुआ है?","सिक्किम","असम","अरुणाचल प्रदेश","त्रिपुरा"
"36","पिछले दिनों ख़बरों में रहने वाला होर्मुज जलडमरूमध्य किसे जोड़ता या अलग करता है?","ओमान की खाड़ी को अरब सागर और हिंद महासागर से","फारस की खाड़ी को अरब सागर और हिंद महासागर से","फारस की खाड़ी को लाल सागर और हिंद महासागर से","फारस की खाड़ी को प्रशांत महासागर और हिंद महासागर से"
"37","ब्रिटिश रॉयल नेवी के एफ़-35 बी लाइटनिंग II लड़ाकू विमान ने कहाँ पर आपात लैंडिंग की है?","कोच्चि अंतरराष्ट्रीय हवाई अड्डे","तिरुवनंतपुरम अंतरराष्ट्रीय हवाई अड्डे","इंदिरा गांधी अंतरराष्ट्रीय हवाई अड्डे","छत्रपति शिवाजी महाराज अंतरराष्ट्रीय हवाई अड्डे"
"38","में आयोजित योग दिवस समारोह ने दो गिनीज वर्ल्ड रिकॉर्ड हासिल किए हैं।","इंदौर","पुणे","नागपुर","विशाखापत्तनम"
"39","देश में पहली योग नीति जारी करने वाला राज्य कौन बन गया है?","आंध्र प्रदेश","कर्नाटक","बिहार","उत्तराखंड"
"40","वित्त मंत्रालय द्वारा प्रतिष्ठित डिजिटल भुगतान पुरस्कार 2024-25 से किसे सम्मानित किया गया है?","एसबीआई","इंडिया पोस्ट पेमेंट्स बैंक (आईपीपीबी)","पेटीएम","फोनपे"
"41","फ्रांस की डसॉल्ट एविएशन किसके साथ मिलकर भारत में फाल्कन 2000 जेट कर रहा है?","रिलायंस इंफ्रास्ट्रक्चर","अदानी डिफेंस","टाटा ग्रुप","भेल"
"42","ऊर्जा संक्रमण सूचकांक 2025 के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 1. विश्व आर्थिक मंच ने वार्षिक ऊर्जा संक्रमण सूचकांक जारी किया। 2. स्वीडन, फ़िनलैंड और डेनमार्क शीर्ष पर है। 3. ऊर्जा बदलाव सूचकांक में भारत 71वें स्थान पर है। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 2","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"43","SpaceX और Blue Origin के बाद हाल ही में किसके द्वारा पुनः प्रयोज्य रॉकेट का सफल परीक्षण किया गया है?","होंडा","वीवो","अग्निकूल","इसरो"
"44","देश में उपग्रह आधारित इंटरनेट सेवाएं प्रदान करने के लिए आधिकारिक लाइसेंस किसे मिल गया है?","SpaceX","Amezon","Airtel","Jio"
"45","विषय “किडनी स्वास्थ्य को समझना” के साथ विश्व किडनी कैंसर दिवस कब मनाया गया है?","12 जून","15 जून","18 जून","20 जून"
"46","वर्तमान केंद्र सरकार के 11 वर्षों के परिवर्तनकारी बदलावों का उत्सव मनाने के लिए राष्ट्रव्यापी अभियान बदलता भारत मेरा अनुभव किस मंत्रालय ने शुरू किया है?","दूरसंचार मंत्रालय","शिक्षा मंत्रालय","गृह मंत्रालय","सूचना एवं प्रसारण मंत्रालय"
"47","थीम – “शरणार्थियों के साथ एकजुटता” के साथ विश्व शरणार्थी दिवस कब मनाया गया है ?","12 जून","15 जून","18 जून","20 जून"
"48","जून 2025 में ईरान से नागरिकों को निकालने के लिए भारत सरकार के अभियान का नाम क्या है?","ऑपरेशन ब्रह्मा","ऑपरेशन सिंधु","ऑपरेशन दुर्गा","ऑपरेशन सद्भाव"
"49","'प्रतिभा सेतु' पोर्टल किसके द्वारा संचालित किया जा रहा है?","शिक्षा मंत्रालय","यूपीएससी","विज्ञान और प्रौद्योगिकी मंत्रालय","इसरो"
"50","गूगल ने एशिया-प्रशांत क्षेत्र का अपना पहला और विश्व का चौथा सुरक्षा इंजीनियरिंग केंद्र में खोला है।","मुंबई","दिल्ली","जामनगर","हैदराबाद"
"51","IEA रिपोर्ट के अनुसार दुनिया का तीसरा सबसे तेज बिजली उत्पादन करने वाला देश कौन बन गया है?","चीन","अमेरिका","भारत","जर्मनी"
"52","क्यू एस वर्ल्ड यूनिवर्सिटी रैंकिंग के अनुसार विश्व का शीर्ष उच्च शिक्षण संस्थान कौन है?","मैसाचुसेट्स इंस्टीट्यूट ऑफ टेक्नोलॉजी","इंपीरियल कॉलेज लंदन","स्टैनफोर्ड यूनिवर्सिटी","आईआईटी दिल्ली"
"53"," की राजधानी जाग्रेब में पीएम मोदी, किसी भारतीय प्रधानमंत्री की पहली आधिकारिक यात्रा है।","क्रोएशिया","साइप्रस","फिजी","फिलीपींस"
"54","""धरतीआबा जनभागीदारी अभियान” के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 1. 15 जून 2025 को गृह मंत्रालय (MoHA) द्वारा शुरू किया गया है। 2. यह भारत का अब तक का सबसे बड़ा जनजातीय सशक्तिकरण अभियान है। 3. इसका उद्देश्य 549 जनजातीय जिलों, 2,900+ ब्लॉकों, और 207 PVTG केंद्रित जिलों के लगभग 1 लाख गांवों में सरकारी योजनाओं का पूर्ण लाभ पहुँचाना हैं। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 2","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"55","संयुक्त राष्ट्र ने 2026 को अंतर्राष्ट्रीय वर्ष घोषित किया है।","महिला किसान","क्वांटम प्रौढ़ोयोगिकी","गैलेशियर संरक्षण","सहकारिता"
"56","भारत के पहले एंटी-सबमरीन वारफेयर शैलो वॉटर क्राफ्ट (ASW-SWC) का नाम क्या है?","INS नीलगिरी","INS सूरत","INS अर्नाला","INS वाघशीर"
"57","भारत में 3,000 रुपये की कीमत वाला फास्टैग आधारित वार्षिक पास कब लॉन्च किया जाएगा?","15 जुलाई 2025","15 अगस्त 2025","15 नवंबर 2025","15 दिसंबर 2025"
"58","आयुष मंत्रालय के अंतर्गत मोरारजी देसाई राष्ट्रीय योग संस्थान ने अंतर्राष्ट्रीय योग दिवस 2025 के अनुसार 17 जून, 2025 कौन सा वैश्विक कार्यक्रम आयोजित किया है?","योग बंधन","योग वंदन","योग बोधन","योग निरोग"
"59","ईरान पर इज़राइल के सैन्य अभियान का नाम जून 2025 में क्या था?","राइजिंग टाइगर","राइजिंग लायन","राइजिंग लाइन","टू प्रॉमिस"
"60","राज्य निर्वाचन आयोग ने एंड्रॉयड आधारित मोबाइल के माध्यम से ई-वोटिंग प्रणाली लागू करने वाला देश का पहला राज्य होगा।","महाराष्ट्र","उत्तर प्रदेश","बिहार","उत्तराखंड"
"61","किस भारतीय एनिमेटेड फिल्म ने एनेसी 2025 में सर्वश्रेष्ठ कमीशन फिल्म के लिए जूरी पुरस्कार जीता?","देसी ऊन","देसी जुगाड़","देसी नस्ल","देसी यागी"
"62","में कक्षा 1 से 5 तक मराठी और अंग्रेजी माध्यम के स्कूलों में तीसरी भाषा के रूप में हिंदी अनिवार्य होगी।","तमिलनाडु","महाराष्ट्र","कर्नाटक","बिहार"
"63","को अमेरिकी रक्षा विभाग (U.S. Department of Defense) द्वारा $200 मिलियन (लगभग ₹1,670 करोड़) का अनुबंध प्रदान किया गया है।","Grok","ChatGPT","Deepseek","Nota"
"64","16 से 17 जून 2025 तक G7 शिखर सम्मेलन 2025 कहाँ आयोजित किया गया था?","मिलान","रियो डी जेनेरियो","ब्रासीलिया","कनानास्किस"
"65","UNO ने एकतरफा प्रतिबंधात्मक उपायों के विरोध में हर वर्ष दिसम्बर को अंतर्राष्ट्रीय दिवस मनाने का फैसला किया है।","1","2","3","4"
"66","केंद्रीय मंत्री श्री भूपेंद्र यादव ने कहाँ पर इंटरनेशनल बिग कैट एलायंस की पहली बैठक की अध्यक्षता की है।","जयपुर","जोधपुर","मुंबई","नई दिल्ली"
"67","भारत के पहले एंटी-सबमरीन वारफेयर शैलो वॉटर क्राफ्ट (ASW-SWC) का नाम क्या है?","INS नीलगिरी","INS सूरत","INS अर्नाला","INS वाघशीर"
"68","30 सितंबर से 2 नवंबर 2025 तक आईसीसी ने 13वें महिला वनडे विश्व कप 2025 प्रतियोगिता का आयोजन कहाँ किया जाएगा?","भारत","श्रीलंका","पाकिस्तान","भारत और श्रीलंका"
"69","""भूमि क्षरण रोकें, अवसरों को लाभ उठाएं” थीम के साथ मरुस्थलीकरण और सूखा रोकथाम के लिए विश्व दिवस कब मनाया गया?","15 जून","16 जून","17 जून","18 जून"
"70","प्रधानमंत्री मोदी को किस देश ने सर्वोच्च नागरिक सम्मान ‘ग्रैंड क्रॉस ऑफ द ऑर्डर ऑफ मकारियोस थर्ड' से सम्मानित किया है?","क्रोएशिया","साइप्रस","फिजी","फिलीपींस"
"71","भारत के अधिकांश भागों में आगामी 16वीं और स्वतंत्रता के बाद 8वीं जनगणना के लिए संदर्भ तिथि क्या है?","1 मार्च 2026","1 मार्च 2027","1 मार्च 2028","1 मार्च 2029"
"72","राष्ट्रपति द्रौपदी मुर्मू की पहली महिला एडीसी किसे नियुक्त किया गया है?","यशस्वी सोलंकी","यशस्वी मिश्रा","यशस्वी द्विवेदी","यशस्वी नायक"
"73","केंद्रीय मंत्री सर्बानंद सोनोवाल के अनुसार भारत में राष्ट्रीय जलमार्गों की संख्या 5 से बढ़कर कितनी हो गई है?","11","111","112","132"
"74","पवन ऊर्जा का सबसे बड़ा उत्पादक देश कौन है?","चीन","संयुक्त राज्य अमेरिका","जर्मनी","भारत"
"75","24 देशों की सेनाओं का महत्वपूर्ण बहुराष्ट्रीय शांति स्थापना का सैन्य अभ्यास 'ख़ान क्वेस्ट' कहाँ आयोजन किया गया हैं?","भारत","अमेरिका","मंगोलिया","उज़्बेकिस्तान"
"76","अंतर्राष्ट्रीय योग दिवस (IDY) की 11वीं वर्षगांठ का राष्ट्रीय आयोजन स्थल के रूप में किसे चुना गया है?","नासिक","पुणे","नागपुर","विशाखापट्टनम"
"77","'बनी हाप' शब्द किस खेल से जुड़ा है?","हॉकी","बैडमिंटन","टेबल टेनिस","क्रिकेट"
"78","एयर इंडिया लंदन फ्लाइट दुर्घटना 12 जून 2025 को किस विमान से जुड़ी थी?","बोइंग 785-8 ड्रीमलाइनर","बोइंग 786-8 ड्रीमलाइनर","बोइंग 787-8 ड्रीमलाइनर","बोइंग 788-8 ड्रीमलाइनर"
"79","लेखक और नई प्रकाशित पुस्तक से संबंधित ग़लत मिलान की पहचान कीजिए-","डॉ. आदिश सी. अग्रवाल - 'मोदी का नीति शास्त्रः द वर्ड्स हिज ऑयस्टर'","ऑड्रे टुश्के - “भारत: उपमहाद्वीप पर 5000 वर्ष का इतिहास""","टीसीए श्रीनिवास राघवन - इंदिरा गांधी और भारत को बदलने वाले वर्ष","सलमान रुश्दी - ""एन एरा ऑफ़ डार्कनेस : द ब्रिटिश एम्पायर इन इंडिया"""
"80","चीन और 2028 में चौथे संयुक्त राष्ट्र महासागर सम्मेलन की मेजबानी करेंगे।","भारत","दक्षिण कोरिया","रूस","जापान"
"81","दसवां साझीदार देश के रूप में ब्रिक्स संगठन में औपचारिक तौर पर शामिल हो गया है।","वियतनाम","बेलारूस","बोलीविया","कज़ाख्स्तान"
"82","आयुष मंत्रालय में 'एक पृथ्वी, एक स्वास्थ्य के लिए योग' पर आधारित हाइब्रिड वैश्विक शिखर सम्मेलन-योग कनेक्ट का आयोजन किया है।","नई दिल्ली","जयपुर","मुंबई","विशाखापट्टनम"
"83","7 जुलाई से 24 अगस्त 2025 तक रियाद, सऊदी अरब ईस्पोर्ट्स वर्ल्ड कप 2025 के लिए वैश्विक राजदूत किसे नियुक्त किया गया है?","लियोनेल मेसी","एम्बापे","क्रिस्टियानो रोनाल्डो","सुनील छेत्री"
"84","ICC विश्व टेस्ट चैम्पियनशिप फाइनल 2025 किस टीम ने जीता?","ऑस्ट्रेलिया","न्यूज़ीलैंड","भारत","दक्षिण अफ्रीका"
"85","ग्लोबल जेंडर गैप इंडेक्स 2025 के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 1. ग्लोबल जेंडर गैप रिपोर्ट का 19वाँ संस्करण UNDP द्वारा प्रकाशित किया गया है। 2. भारत ने 148 देशों में से 131वां स्थान प्राप्त किया है। 3. आइसलैंड शीर्ष जबकि पाकिस्तान सबसे निचले स्थान पर बना हुआ है। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 2","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"86","2023 शंकरदेव पुरस्कार से किसे सम्मानित किया गया है?","सोनल मानसिंह","सोनू निगम","अरिजीत सिंह","हनी सिंह"
"87","भारत और फ्रांस के बीच संयुक्त सैन्य अभ्यास का 8वां संस्करण फ्रांस के ला कैवेलरी में आयोजित किया गया।","विजय","दुर्गा","कोयल","शक्ति"
"88","प्रथम भारतीय एवं विशेष बलों का अभ्यास 'टाइगर क्लॉ' संपन्न हुआ है।","फ्रांस","अमेरिका","जापान","रूस"
"89","'सबका साथ, सबका विकास, सबका विश्वास, सबका प्रयास' कार्यक्रमके अंतर्गत केंद्रीय मंत्री किरेन रिजिजू ने कहाँ पर लोक संवर्धन पर्व का उद्घाटन किया है?","जयपुर","नई दिल्ली","विशाखापत्तनम","पुणे"
"90","""प्रगति स्पष्ट है, लेकिन अभी और करना बाकी है: आइए हम अपने प्रयासों को तेज़ करें” थीम के साथ विश्व बालश्रम निषेध दिवस कब मनाया गया ?","10 जून","11 जून","12 जून","13 जून"
"91","बहुराष्ट्रीय सैन्य अभ्यास 'खान क्वेस्ट' का आयोजन कहाँ किया गया है?","मंगोलिया","उज़्बेकिस्तान","रूस","फ़्रांस"
"92","अंतर्राष्ट्रीय लोकतंत्र एवं निर्वाचन सहायता संस्थान (अंतर्राष्ट्रीय आईडीईए) अंतर्राष्ट्रीय सम्मेलन कहाँ आयोजित किया गया है?","स्टॉकहोम","पेरिस","ताशकंद","नई दिल्ली"
"93","वित्तीय स्थिरता एवं विकास परिषद (एफएसडीसी) की 29वीं बैठक का आयोजन कहाँ किया गया है?","mumbai","नई दिल्ली","विशाखापत्तनम","पुणे"
"94","भारत का सामाजिक सुरक्षा दायरा 2015 में 19 प्रतिशत से बढ़कर 2025 में प्रतिशत हो गया है।","60.3%","61.3%","62.3%","64.3%"
"95","""नागरिक सशक्तिकरण, भ्रष्टाचार उजागरीकरण”- भारत के ने नया आदर्श वाक्य अपनाया है।","सीबीआई","सेबी","आरबीआई","लोकपाल"
"96","संयुक्त राष्ट्र की एक नई जनसांख्यिकी रिपोर्ट भारत की प्रजनन दर घटकर प्रति महिला कितना रह गई है?","1.4","1.5","1.9","2.1"
"97","अब आधिकारिक रूप से 'भारत की तेंदुआ राजधानी' बन गया है।","जयपुर","नई दिल्ली","बैंगलोर","पुणे"
"98","दुर्लभ खगोलीय घटना स्ट्राबेरी मून को चांदनी बिखेरते हुए कब देखा गया है?","10 जून","11 जून","12 जून","13 जून"
"99","भारत के पहले पानी के नीचे संग्रहालय और कृत्रिम मूंगा चट्टान कहाँ विकसित किया जाएगा?","कर्नाटक","महाराष्ट्र","तमिलनाडु","केरल"
"100","भारत का पहला इलेक्ट्रॉनिक कचरा (ई-वेस्ट) ईको पार्क कहाँ स्थापित करने की घोषणा की गई है?","जयपुर","नई दिल्ली","बैंगलोर","पुणे"
"101","राष्ट्रीय ई-गवर्नेस पुरस्कार 2025 में “ग्रासरूट्स लेवल इनिशिएटिव्स” श्रेणी में गोल्ड अवार्ड से किसे नवाजा गया है?","रोहिणी ग्राम पंचायत","मोतीपुर ग्राम पंचायत","वृंदावन ग्राम पंचायत","नवलखा ग्राम पंचायत"
"102","आइसीसी हॉल ऑफ फेम में जगह पाने वाले 11वें भारतीय क्रिकेटर कौन होंगे?","सुनील गावस्कर","बिशन सिंह बेदी","एमएस धोनी","अनिल कुंबले"
"103","किसकी अध्यक्षता में नई दिल्ली में चौथे भारत-मध्य एशिया संवाद का आयोजन किया गया?","नरेंद्र मोदी","निर्मला सीतारमन","अमित शाह","डॉ. एस जयशंकर"
"104","फ्रेंच ओपन में महिला सिंगल्स का खिताब किसने जीत लिया है?","कोको गाफ","आर्यना सबालेंका","कार्लोस अल्काराज़","जैनिक सिनर"
"105","विश्व बैंक की नई रिपोर्ट के अनुसार भारत में 2011-12 में देश की अत्यधिक गरीबी दर 27.1% से 2022-23 में घटकर कितना % रह गई है।","5.0%","5.1%","5.2%","5.3%"
"106","भारत-इंग्लैंड टेस्ट सीरीज का नाम बदलकर -एंडरसन ट्रॉफी रख दिया गया है।","तेंदुलकर","गावस्कर","कपिलदेव","एमएस धोनी"
"107","""Food Safety: Science in Action"" (खाद्य सुरक्षाः क्रियाशील विज्ञान) थीम के साथ विश्व खाद्य सुरक्षा दिवस कब मनाया गया?","7 जून","09 जून","12 जून","13 जून"
"108","""जम्मू-कश्मीर, चिनाब रेलवे पुल के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 359m ऊंचाई के साथ यह विश्व का सबसे ऊंचा रेलवे आर्च पुल है। अंजी पुल भारत का पहला केबल आधारित रेल पुल है। उधमपुर-श्रीनगर-बारामूला रेल लिंक 272 km की परियोजना ₹44000 cr लागत से निर्मित है। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 2","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"109","निम्नलिखित में से किसको प्रधानमंत्री की आर्थिक सलाहकार परिषद के अध्यक्ष नियुक्त किया गया है?","डॉ. बिबेक देबरॉय","वी अनंत नागेश्वरन","अरविंद पांगड़िया","एस. महेंद्र देव"
"110","बहरीन, लातविया और 3 अन्य देश 26-27 के लिए संयुक्त राष्ट्र सुरक्षा परिषद में शामिल हुए हैं। निम्न में से कौन सा देश उसमें शामिल नहीं है?","भारत","कोलंबिया","लाइबेरिया","कांगो लोकतांत्रिक गणराज्य"
"111","सिंदूर का पेड़ का अंग्रेजी नाम क्या है? जिसे पीएम मोदी की पोस्ट के बाद गूगल पर खूब खोजा गया था।","बिक्सा ओरेलाना","लिपस्टिक ट्री","कमाल ट्री","All of the above."
"112","को 2026-28 की अवधि के लिए संयुक्त राष्ट्र की आर्थिक और सामाजिक परिषद के लिए चुना गया है।","भारत","कोलंबिया","लाइबेरिया","कांगो लोकतांत्रिक गणराज्य"
"113","8वें वार्षिक नेतृत्व शिखर सम्मेलन में यूएस-इंडिया स्ट्रेटेजिक पार्टनरशिप फोरम (USISPF) द्वारा ग्लोबल लीडरशिप अवार्ड से किसे सम्मानित किया गया है?","सुनील भारती मित्तल","नटराजन चंद्रशेखरन","कुमार मंगलम बिड़ला","गौतम अड़ानी"
"114","आरबीआई द्वारा पहली बार किस भारतीय ई-कॉमर्स कंपनी को गैर-बैंकिंग वित्तीय कंपनी (NBFC) लाइसेंस मिला है?","मिसो","फ्लिपकार्ट","मिंत्रा","एजियो"
"115","नई दिल्ली स्थित प्रधानमंत्री संग्रहालय एवं पुस्तकालय (पीएमएमएल) का निदेशक किसे नियुक्त किया गया है?","अश्विनी लोहानी","वी अनंत नागेश्वरन","अरविंद पांगड़िया","एस. महेंद्र देव"
"116","""प्लास्टिक प्रदूषण को परास्त करना"" थीम के साथ विश्व पर्यावरण दिवस कब मनाया गया?","5 जून","09 जून","12 जून","13 जून"
"117","फलौदी में खीचन और उदयपुर में मेनार आर्द्रभूमि को रामसर स्थलों की सूची में शामिल किए जाने के साथ भारत में अब कुल रामसर स्थलों की संख्या बढ़कर कितनी हो गई है?","81","85","89","91"
"118","सत्र 2025-2028 तक के लिए 'अंतर्राष्ट्रीय प्रशासनिक विज्ञान संस्थान' की अध्यक्षत किसे चुना गया है?","भारत","जापान","चीन","जर्मनी"
"119","लिबरल डेमोक्रेटिक पार्टी के नेता ने दक्षिण कोरिया के 21वें राष्ट्रपति के रूप में शपथ ली है।","किम मून-सू","ली जे-म्यांग","यूं सुक-योल","यूं सुक-कॉल"
