"question_no","question","1","2","3","4"
"25","देश भर में 'सड़क दुर्घटना पीड़ितों के लिए कैशलेस उपचार योजना, 2025' प्रति दुर्घटना प्रति व्यक्ति कितने रुपये तक के कैशलेस उपचार के हकदार होंगे?","1.5 लाख","2.5 लाख","3.5 लाख","4.5 लाख"
"26","अंतर्राष्ट्रीय बुद्ध शांति पुरस्कार 2025 से किसे सम्मानित किया गया है?","डॉ. मुस्तफा यूसुफली गोम","डॉ. मुनीर खान","लक्ष्मण प्रसाद आचार्य","नरेंद्र सिंह चौहान"
"27","भारत सरकार ने 2025-26 फसल सत्र के लिए कितना खाद्यान्न उत्पादन का लक्ष्य रखा है?","141.55 मिलियन टन (एमटी)","241.55 मिलियन टन (एमटी)","341.55 मिलियन टन (एमटी)","354.64 मिलियन टन (एमटी)"
"28","वनों पर संयुक्त राष्ट्र फोरम (यूएनएफएफ 20) के 20वें सत्र का आयोजन कहाँ किया गया है?","पेरिस","न्यूयॉर्क","लंदन","जिनेवा"
"29","केंद्रीय गृह मंत्रालय (एमएचए) ने नागरिक सुरक्षा अधिनियम और नियम 1968 के किस धारा के तहत नागरिक सुरक्षा उपायों को बढ़ाने का आग्रह किया गया है?","धारा 11","धारा 12","धारा 13","धारा 14"
"30","भारतीय राष्ट्रीय महासागर सूचना सेवा केंद्र (INCOIS) ने किस क्षेत्र के लिए 'पनडुब्बी केबल परियोजना' शुरू की है?","लक्षद्वीप समूह","अंडमान और निकोबार द्वीप समूह","पश्चिम बंगाल","तमिलनाडु"
"31","चार दिवसीय विश्व बैंक भूमि सम्मेलन 2025 का आयोजन कहाँ किया गया है?","washington dc","न्यूयॉर्क","लंदन","जिनेवा"
"32","_______ ने प्रेस स्वतंत्रता पुरस्कार 2025 को लेकर यूनेस्को से खुद को अलग कर लिया है।","अमेरिका","अर्जेंटीना","पनामा","निकारागुआ"
"33","अमेरिकी पादरी रॉबर्ट फ्रांसिस प्रीवोस्ट नए पोप चुने गए वह किस नाम से जिम्मेदारी संभालेंगे?","पोप लियो X","पोप लियो XI","पोप लियो XV","पोप लियो XIV"
"34","भारतीय नौसेना को मिली पहली स्वदेशी एंटी-सबमरीन युद्धपोत का नाम क्या है?","अनर्गा","अर्नाला","अमानत","अर्णित"
"35","_______ मध्य प्रदेश के साथ मिलकर भारत के पहले चीता संरक्षण गलियारे में शामिल होगा।","राजस्थान","हरियाणा","गुजरात","राजस्थान"
"36","किस शहर में वायु प्रदूषण को दूर करने के लिए प्रायोगिक क्लाउड सीडिंग के प्रस्ताव को मंजूरी दी गई है?","पटना","इंदौर","दिल्ली","भोपाल"
"37","पुलित्जर पुरस्कार के 2025 के संदर्भ मे निम्नलिखित में से गलत मिलान पर विचार कीजिए-","सार्वजनिक सेवा - प्रोपब्लिका","खोजी रिपोर्टिंग - समाचार एजेंसी रॉयटर्स","ब्रेकिंग न्यूज़ रिपोर्टिंग - रिपब्लिक टीवी","काल्पनिक (फिक्शन) - जेम्स"
"38","26वां संयुक्त राष्ट्र वेसाक दिवस 12 मई 2025 को कहाँ मनाया गया है ?","ho chi minh (viyatnam)","न्यूयॉर्क","लंदन","जिनेवा"
"39","अंतरराष्ट्रीय समुद्री रक्षा प्रदर्शनी (आईएमडीईएक्स) - 2025 का आयोजन कहाँ किया गया है ?","ओमान","सिंगापुर","इंडोनेशिया","मौरीशस"
"40","_______ ने वैश्विक अंतरिक्ष अन्वेषण शिखर सम्मेलन (ग्लेक्स) 2025 को संबोधित किया है?","राष्ट्रपति","प्रधानमंत्री","गृह मंत्री","रक्षा मंत्री"
"41","केंद्रीय जांच ब्यूरो (सीबीआई) के निदेशक प्रवीण सूद के कार्यकाल को _______ वर्ष के लिए बढ़ाने का फैसला किया है।","एक","दो","तीन","चार"
"42","_______ में कान्हा शांति वनम में दुनिया के पहले ऊर्जा संचरण उद्यान बाबूजी वनम का उद्घाटन किया।","आंध्र प्रदेश","तमिलनाडु","कर्नाटक","तेलंगाना"
"43","_______ ने वैश्विक पारिस्थितिकी तंत्र बहाली निगरानी को बढ़ावा देने के लिए ‘AIM4NatuRe पहल' शुरू की है।","FAO","WMO","ILO","UNEP"
"44","“द अनडाइंग लाइट: ए पर्सनल हिस्ट्री ऑफ़ इंडिपेंडेंट इंडिया” किसकी रचना है?","अरुण पाठक","सलमान रुश्दी","अरुण शौरी","गोपालकृष्ण गांधी"
"45","21 जून को अंतर्राष्ट्रीय योग दिवस 2025 के राष्ट्रव्यापी समारोह का आयोजन कहाँ किया जाएगा?","vishakhapatnam","इंदौर","पुणे","मुंबई"
"46","किस राज्य में केंद्रीय मंत्री अमित शाह ने बोडोफा उपेंद्र नाथ ब्रह्मा के सम्मान में प्रतिमा का अनावरण किया और सड़क का नाम बदला है?","new delhi","ओडिशा","छत्तीसगढ़","असम"
"47","किस शहर में आधिकारिक तौर पर विश्व स्वास्थ्य संगठन (WHO) के आयु-अनुकूल शहरों और समुदायों के लिए वैश्विक नेटवर्क (GNAFCC) का सदस्य बन गया है।","इंदौर","पुणे","कोझिकोड","बंगलौर"
"48","भारतीय सेना ने किस अभियान के तहत कुल 9 आतंकी स्थानों को निशाना बनाया है?","ऑपरेशन किलर","ऑपरेशन सिंदूर","ऑपरेशन मंगल","ऑपरेशन शौर्य"
"49","भारत का पहला मानव मिशन गगनयान किस वर्ष अंतरिक्ष में जाएगा ?","2026","2035","2040","2047"
"50","भारत और _______ ने मुक्त व्यापार समझौते (Free Trade Agreement – FTA) को सफलतापूर्वक पूरा कर लिया है।","कनाडा","ऑस्ट्रेलिया","न्यूज़ीलैंड","यूके"
"51","सर्वे ऑफ इंडिया (SoI) के अद्यतन पद्धति के बाद भारत की तटरेखा की लंबाई संशोधित कर कितना किमी की गई है?","7,516.60 किमी","8,516.60 किमी","10,098.81 किमी","11,098.81 किमी"
"52","आईएमएफ के वर्ल्ड इकोनॉमिक आउटलुक रिपोर्ट के अनुसार भारत की जीडीपी किस वर्ष तक जापान को पछाड़कर दुनिया की चौथी सबसे बड़ी अर्थव्यवस्था बन जाएगी?","2025","2027","2047","2070"
"53","यू एन डी पी की रिपोर्ट के अनुसार, आर्टिफिशियल इंटेलिजेंस के क्षेत्र में कौशल क्षमता पूरे विश्व में सबसे अधिक किस देश की है?","अमेरिका","रूस","चीन","भारत"
"54","जर्मनी के नए चांसलर किसे चुना गया है?","अल्फ्रेड हिजुश","फ्रेंकमिल जुहिय्ल","फ्रेडरिक जॉर्ज","फ्रेडरिक मेर्ज़"
"55","'जहाज निर्माण, जहाज मरम्मत और जहाज पुनर्चक्रण नीति 2025' को मंजूरी देने वाला पहला राज्य कौन बन गया है?","आंध्र प्रदेश","तमिलनाडु","कर्नाटक","महाराष्ट्र"
"56","72वां मिस वर्ल्ड प्रतियोगिता का 10 से 31 मई तक कहाँ आयोजित की गई है?","दिल्ली","मुंबई","हैदराबाद","पुणे"
"57","एशियाई विकास बैंक (एडीबी) के गर्वनर बोर्ड की 58वीं वार्षिक बैठक कहाँ हुई है?","इटली","फ्रांस","अमेरिका","जर्मनी"
"58","19वें संस्करण सुदीरमन कप 2025 किस टीम ने जीता है?","इटली","चीन","भारत","पाकिस्तान"
"59","आईसीएआर द्वारा विकसित भारत की पहली दो जीनोम संपादित चावल किस्मों को किसने जारी किया है?","नरेंद्र मोदी","अमित शाह","शिवराज सिंह चौहान","जयंत चौधरी"
"60","विश्व बैंक मुख्यालय में 5 से 8 मई तक होने वाले विश्व बैंक भूमि सम्मेलन-2025 में वैश्विक भूमि-सुधार वार्ता का नेतृत्व किस देश ने किया है?","इटली","चीन","भारत","अमेरिका"
"61","_______ ने भारत की सुरक्षा प्रणाली को और मज़बूत करने के लिए हॉकआई 360 तकनीक की बिक्री को मंजूरी दी है।","रूस","इसराइल","फ्रांस","अमरीका"
"62","_______ AI-आधारित रियल-टाइम वन अलर्ट सिस्टम लॉन्च करने वाला भारत का पहला राज्य बन गया है।","मध्य प्रदेश","राजस्थान","उत्तर प्रदेश","झारखंड"
"63","सिंगल-प्लेटफॉर्म ईसीआईएनईटी ऐप किसने लॉन्च किया है?","आरबीआई","सेबी","इलेक्शन कमीशन","NOTA"
"64","CareEdge Ratings की नवीनतम स्टेट रैंकिंग 2025 में शीर्ष स्थान पर है ?","महाराष्ट्र","गुजरात","कर्नाटक","गोवा"
"65","खेलो इंडिया यूथ गेम्स 2025 के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 1. प्रधानमंत्री नरेन्द्र मोदी ने वीडियो संदेश के माध्यम से उद्घाटन किया है। 2. बिहार में खेलो इंडिया यूथ गेम्स 2025 के सातवें संस्करण का आयोजन हुआ है। 3. खेलो इंडिया यूथ गेम्स 2025 का शुभंकर गजराज सिंह है।","केवल 1","केवल 1 और 2","केवल 2 और 3","उपरोक्त मे से सभी सही है ।"
"66","प्रथम राष्ट्रीय मध्यस्थता सम्मेलन 2025 का आयोजन कहाँ किया गया है ?","दिल्ली","मुंबई","हैदराबाद","पुणे"
"67","प्रधानमंत्री ने _______ में डीआरडीओ के नए मिसाइल परीक्षण रेंज की आधारशिला रखी है।","चांदीपुर","व्हीलर द्वीप","नागायलंका","श्रीहरिकोटा"
"68","वेव्स शिखर सम्मेलन के दौरान भारत की ‘Live Events Economy: A Strategic Growth Imperative', श्वेत पत्र किसने जारी किया है ?","जयंत चौधरी","डॉ. एल. मुरुगन","अमित शाह","ज्योतिरादित्य सिंधिया"
"69","निम्नलिखित कथनों पर विचार कीजिए- 1. अंगोला को सशस्त्र बलों के आधुनिकीकरण के लिए 200 मिलियन डॉलर का ऋण दिया है। 2. भारत और अंगोला के राजनयिक संबंधों की स्थापना की 50वीं वर्षगांठ का भी प्रतीक है। 3. भारत और अंगोला ने कृषि, पारंपरिक चिकित्सा और संस्कृति समझौता किया है।","केवल 1","केवल 1 और 2","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"70","वर्ष 2024-25 के लिए अखिल भारतीय फुटबॉल महासंघ द्वारा सर्वश्रेष्ठ पुरुष खिलाड़ी किसे चुना गया है?","सुभाशीष बोस","सौम्या गुगुलोथ","खालिद जमील","सुजाता कर"
"71","भारत सरकार ने _______ से भारत में आयातित या निर्यातित सभी वस्तुओं के आयात पर प्रतिबंध लगाया है।","चीन","सऊदी अरब","अमेरिका","पाकिस्तान"
"72","राष्ट्रीय विनिर्माण मिशन (NMM) के व्यापक ढांचे को डिजाइन करने के लिए किसके अध्यक्षता में अंतर-मंत्रालयी समिति गठित की गई है?","संजय मल्होत्रा","बी.वी.आर. सुब्रह्मण्यम","आर राजन","सीआर पाटिल"
"73","विश्व सामाजिक रिपोर्ट 2025 के अनुसार वैश्विक आबादी का लगभग कितने प्रतिशत लोग आर्थिक असुरक्षा का सामना कर रहे हैं?","30%","40%","50%","60%"
"74","भारतीय मूल के _______ को एक्सिओम स्पेस का सीईओ नियुक्त किया गया है।","अमितेश कुमार सिन्हा","सुशांत शुक्ला","गुंजन सोनी","तेजपॉल भाटिया"
"75","विझिनजाम इंटरनेशनल डीप-सी पोर्ट कहाँ स्थित है?","वायनाड","तिरुवनंतपुरम","कोच्चि","अलपुझा"
"76","दुनिया भर में तटीय पारिस्थितिकी तंत्र की सुरक्षा 'हमारे महासागर को पुनर्जीवित करें (Revive Our Ocean)' नामक एक नई वैश्विक पहल का शुभारंभ किसने किया है?","डायनेमिक प्लैनेट","नेशनल ज्योग्राफिक सोसाइटी (एनजीएस)","डेविड एटनबरो","उपरोक्त में से सभी"
"77","86वीं BWF वार्षिक आम बैठक (AGM) में 2025-2029 के कार्यकाल के लिए बैडमिंटन विश्व महासंघ (BWF) का नया अध्यक्ष किसे चुना गया है?","खुन्यिंग पटामा लीस्वाडट्रकुल","हुहुयुतकी हैतिम्न्ह","एरिक होयर लार्सन","लू शेनग्रोंग"
"78","'कनेक्टिंग क्रियेटर्स, कनेक्टिंग कंट्रीज' थीम के साथ पहले विश्व श्रव्य-दृश्य मनोरंजन शिखर सम्मेलन (वेव्स) 2025 का आयोजन कहाँ किया गया है?","दिल्ली","मुंबई","जयपुर","इंदौर"
"79","'डिपो दर्पण' पोर्टल का उद्देश्य क्या है?","जेनरिक दवाओं की गुणवत्ता सुनिश्चित करना","सब्ज़ियों की भंडारण की गुणवत्ता सुनिश्चित करना","वैक्सीन भंडारण की गुणवत्ता सुनिश्चित करना","खाद्यान्न भंडारण की गुणवत्ता सुनिश्चित करना"
"80","प्रोजेक्ट कुइपर के तहत अपने 27 उपग्रहों का पहला बैच अन्तरिक्ष में _______ ने प्रक्षेपित किया है।","स्पेसएक्स","वनवेब","अमेजन","गूगल"
"81","प्रमुख दिवस एवम उसके महत्त्व के संबंध में ग़लत मिलान को पहचानिए-","श्रमिक दिवस -2 मई","विश्व प्रेस स्वतंत्रता दिवस -3 मई","इंटरनेशनल नो डाइट डे -6 मई","अंतर्राष्ट्रीय नर्स दिवस - 12 मई"
"82","राष्ट्रीय सुरक्षा सलाहकार बोर्ड का अध्यक्ष किसे बनाया गया है?","अजीत डोभाल","आलोक जोशी","राजीव रंजन वर्मा","मनमोहन सिंह"
"83","अंतरिक्ष और प्रमुख आपदाओं पर अंतरराष्ट्रीय चार्टर का प्रमुख किसे चुना गया है?","इसरो","नासा","सीएनईएस","ईसा"
"84","हाल ही में लांच पुस्तक एवम उसके लेखक के संबंध में ग़लत मिलान को पहचानिए-","फाली एस. नरीमन - बियॉन्ड द कोर्टरूम","शशि थरूर -द अंडायिंग लाइट","हरी सिंह राना - मेरे अच्छे दिन","अरूण सिंघल और देवेंद्र कुमार शर्मा - रामानुजन : जर्नी ऑफ़ ए ग्रेट मैथमेटिशियन "
"85","2026 के एशियाई खेलों में क्रिकेट रहेगा बरकरार, पहली बार शामिल होने के लिए तैयार होगी।","ई स्पोर्ट्स","खो खो","कब्बड्डी","मिक्स्ड मार्शल आर्ट्स"
"86","प्रधानमंत्री ने किस जिले में 29,930 करोड़ रुपये की लागत वाली नबीनगर सुपर थर्मल पावर परियोजना, चरण-II (3x800 मेगावाट) की आधारशिला रखी है?","गया","औरंगाबाद","भोजपुर","नालंदा"
"87","राष्ट्रीय स्तर पर तय किए गए 95% साक्षरता मानक को पार करने वाला देश का दूसरा राज्य कौन बन गया है?","मिजोरम","गोवा","केरल","लद्दाख"
"88","संयुक्त राष्ट्र ने शांति मिशन में सेवा के दौरान शहीद हुए किस भारतीय शांतिरक्षक को डैग हैमरशॉल्ड पदक से सम्मानित किया है?","अमिताभ झा","हवलदार संजय सिंह","अमिताभ मिश्रा","A और B दोनों"
"89","'अंकुर' (ANKUR – Atal Network for Knowledge, Urbanisation and Reforms) का शुभारंभ किस राज्य ने किया है?","बिहार","छत्तीसगढ़","ओडिशा","झारखंड"
"90","राष्ट्रपति द्रौपदी मुर्मु ने राष्ट्रपति भवन में कितने नर्सिंग पेशेवरों को राष्ट्रीय फ्लोरेंस नाइटिंगेल पुरस्कार-2025 प्रदान किया है?","10","12","15","18"
"91","भारत और किस देश के बीच संयुक्त सैन्य अभ्यास नोमैडिक एलीफेंट के 17वें संस्करण का आयोजन हुआ है ?","मंगोलिया","उज़्बेकिस्तान","रूस","फ्रांस"
"92","प्रतिष्ठित 7 समिट्स चैलेंज को पूरा करने वाला भारत के सबसे कम उम्र के और दुनिया के दूसरे सबसे कम उम्र के पर्वतारोही कौन बन गए हैं?","जिया खान","अनुराग ठाकुर","विश्वनाथ श्री","विश्वनाथ कार्तिकेय"
"93","22वें शांगरी-ला वार्ता या एशियाई सुरक्षा शिखर सम्मेलन में भारत की ओर से _______ शामिल है।","अनिल चौहान","द्रौपदी मुरमू","नरेंद्र मोदी","ओम बिरला"
"94","_______ सौर ऊर्जा से अपनी ऊर्जा मांग पूरी करने वाला देश का पहला जिला बना गया है।","कच्छ","पोर्ट ब्लेयर","लेह","दीव"
"95","सरकारी दक्षता विभाग (डीओजीई) के पद से किसने इस्तीफ़ा की घोषणा की है?","विवेक रामास्वामी","कश्यप काश पटेल","जे डी वांस","एलन मस्क"
"96","DRDO प्रमुख _______ का कार्यकाल मई 2026 फिर एक साल के लिए बढ़ाया गया है।","वी रामास्वामी","बीवीआर सुब्रमण्यम","डॉ. समीर कामत","अरुण मिश्रा"
"97","विश्व हाइड्रोजन शिखर सम्मेलन और प्रदर्शनी का छठा संस्करण कहाँ आयोजित किया गया है?","रॉटरडैम","जिनेवा","पेरिस","लंदन"
"98","2025-26 विपणन सत्र के लिए 14 खरीफ फसलों में सर्वाधिक वृद्धि न्यूनतम समर्थन मूल्य (MSP) में किस फसल में हुआ है ?","नाइजर सीड (रामतिल)","रागी","कपास","तिल (सेसम)"
"99","प्रसिद्ध नेपाली पर्वतारोही कामी रीता शेर्पा ने एक बार फिर इतिहास रचते हुए _______ बार माउंट एवरेस्ट (सागरमाथा) पर सफल चढ़ाई की है।","30वीं","31वीं","32वीं","33वीं"
"100","'इनोवेट टू ट्रांसफॉर्म' थीम के साथ इंडिया मोबाइल कांग्रेस 2025 के 9वें संस्करण का आयोजन कहाँ किया गया है?","मुंबई","पुणे","दिल्ली","जयपुर"
"101","संयुक्त राष्ट्र महासभा (UNGA) ने _______ को 'विश्व फुटबॉल दिवस' (World Football Day) के रूप में मनाने की घोषणा की है।","20 मई","22 मई","25 मई","26 मई"
"102","MSME भारत के GDP में 29 प्रतिशत और _______ से अधिक कार्यबल को रोजगार देता है।","20 प्रतिशत","30 प्रतिशत","40 प्रतिशत","60 प्रतिशत"
"103","जापान को पछाड़ _______ दुनिया की चौथी सबसे बड़ी अर्थव्यवस्था बन गई है।","अमेरिका","चीन","जर्मनी","भारत"
"104","वैश्विक पर्यटन के भविष्य को आकार देने के लिए TOURISE पहल की शुरुआत किसने किया है?","सऊदी अरब","यूएई","कतर","यूएसए"
"105","भारत के कुल कच्चे तेल आयात में सर्वाधिक हिस्सेदारी किसकी है ?","रूस (37.8%)","इराक (19.1%)","सऊदी अरब (10.4%)","यूएसए 7.3%"
"106","_______ ने 19 मई 2025 को औपचारिक रूप से न्यू डेवलपमेंट बैंक (NDB) की सदस्यता ग्रहण कर ली है।","इंडोनेशिया","आर्मेनिया","मॉल्डोवा","अल्जीरिया"
"107","महिलाओं के एआई और साइबर सुरक्षा कौशल को बढ़ावा देने के लिए 'Yashoda AI: Your AI SAKHI' किसने लॉन्च किया है?","MWCW","IMF","UNICEF","NCW"
"108","RBI ने वित्त वर्ष 2024-25 के लिए अधिशेष के रूप में कितना राशि केंद्र सरकार को हस्तांरित करने की मंजूरी दे दी है?","1.68 लाख करोड़ रुपये","2.68 लाख करोड़ रुपये","3.68 लाख करोड़ रुपये","4.68 लाख करोड़ रुपये"
"109","ग्लोबल वार्मिंग की चिंताओं के बीच _______ के याला ग्लेशियर को 'मृत' घोषित किया गया है।","नेपाल","भारत","चीन","भूटान"
"110","_______ आधिकारिक तौर पर चीन के बेल्ट एंड रोड इनिशिएटिव (BRI) में शामिल हो गया है।","पनामा","कोलंबिया","बांग्लादेश","ईरान"
"111","संसद रत्न पुरस्कार 2025 के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 1. चेन्नई स्थित प्राइम पॉइंट फाउंडेशन ने संसद रत्न पुरस्कार प्राप्तकर्ताओं की घोषणा की है। 2. 17 सांसदों और 2 संसदीय समितियों को सम्मानित किया गया है। 3. महाराष्ट्र 7 पुरस्कारों के साथ सबसे आगे है, उसके बाद उत्तर प्रदेश, झारखंड और राजस्थान (2-2) हैं। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 2","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"112","नीति आयोग की 10वीं गवर्निंग काउंसिल की बैठक कहाँ आयोजित की गई है ?","जयपुर","दिल्ली","मुंबई","पुणे"
"113","_______ 2025-26 के कार्यकाल के लिए एशियाई उत्पादकता संगठन का अध्यक्ष बन गया है।","चीन","बांग्लादेश","भारत","पाकिस्तान"
"114","ब्रिटेन ने विवादित चागोस द्वीप समूह की संप्रभुता _______ को सौंपने के समझौते पर हस्ताक्षर किए हैं।","मॉरीशस","सिंगापुर","इंडोनेशिया","फिलीपींस"
"115","प्लास्टिक प्रदूषण के खिलाफ किस केंद्रीय मंत्री ने 'वन नेशन, वन मिशन' अभियान की शुरुआत की है?","अमित शाह","ज्योतिरादित्य सिंधिया","शिवराज सिंह चौहान","भूपेंद्र यादव"
"116","_______ ने ऑर्बिट में दुनिया का पहला सुपरकंप्यूटर बनाने के लिए 12 AI-सैटेलाइट लॉन्च किए हैं।","चीन","बांग्लादेश","भारत","पाकिस्तान"
"117","16वीं शेर गणना के अनुसार शेरों की आबादी कितना हो गया है?","411","523","674","891"
