"question_no","question","1","2","3","4"
"21","जलचरों और आर्द्रभूमियों के संरक्षण पर दो दिवसीय ""एशियन वॉटरबर्ड सेन्सस इंडिया कोऑर्डिनेटर्स मीटिंग"" कहा आयोजित किया गया है?","पटना","पूर्णिया","कटिहार","किशनगंज"
"22","जयप्रकाश नारायण अन्तरराष्ट्रीय हवाईअड्डा के नए टर्मिनल का उद्घाटन किसने किया है?","नरेंद्र मोदी","द्रौपदी मुर्मू","नीतीश कुमार","अमित शाह"
"23","बिहार की बेटियों की रग्बी टीम ने इतिहास रचते हुए खेलो इंडिया यूथ गेम्स (KIYG) 2025 में रग्बी के डेब्यू पर को 22-0 से हराकर स्वर्ण पदक अपने नाम किया।(7gold, 11 silver,18bronze)","महाराष्ट्र","हरियाणा","झारखंड","ओडिशा"
"24","प्रधानमंत्री सूक्ष्म खाद्य उद्योग उन्नयन (PMFME) योजना में बिहार ने कौन सा स्थान प्राप्त किया है?","प्रथम","दूसरा","तीसरा","चौथा"
"25","30 अप्रैल 2025 को शुरू की गई 'मुख्यमंत्री नीरा संवर्द्धन योजना' के तहत, बिहार सरकार का उद्देश्य क्या है?","मखाना के मालिकों और श्रमिकों को अवसर और वित्तीय सहायता देना","मत्स्य पालन मालिकों और श्रमिकों को अवसर और वित्तीय सहायता देना","ताड़ के वृक्षों के मालिकों और श्रमिकों को अवसर और वित्तीय सहायता देना","शाही लीची के मालिकों और श्रमिकों को अवसर और वित्तीय सहायता देना"
"26","बिहार के किस ज़िले के मोतीपुर पंचायत को राष्ट्रीय पंचायत पुरस्कार 2025 से सम्मानित किया गया है?","samastipur","पूर्णिया","कटिहार","किशनगंज"
"27","खेलो इंडिया यूथ गेम्स के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए-

खेलो इंडिया यूथ गेम्स 7th संस्करण का आयोजन बिहार में हुआ है।

महाराष्ट्र 158, हरियाणा 117, राजस्थान 60 पदक जीतकर क्रमशः प्रथम, द्वितीय और तीसरे स्थान पर रहा।

बिहार के पटना में खेलो इंडिया यूथ गेम्स 4 मई से शुरू हुए थे।
उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 2","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"28","मुंगेर जिले में जमालपुर रेल कारखाने में डिब्बा ओवरहॉलिंग केंद्र का शिलान्यास किसने किया है?","नरेंद्र मोदी","द्रौपदी मुर्मू","अश्विनी वैष्णव","अमित शाह"
"29","बिहार सरकार ने ऐतिहासिक शहर गया का नाम आधिकारिक तौर पर परिवर्तित कर क्या कर दिया है?","गया श्री","श्री गया जी","श्री गया","गया जी"
"30","नालंदा विश्वविद्यालय का कुलपति किसे नियुक्त किया गया है ?","अरविंद पनगढ़िया","सचिन चतुर्वेदी","अमर्त्य सेन","डॉ वी सुब्रमण्यम"
"31","बिहार के में इस वर्ष अगस्त माह में एशिया कप हॉकी के 12वें संस्करण का आयोजन होगा।","गया","बेगूसराय","पटना","राजगीर"
"32","में बौद्ध भिक्षुओं द्वारा मधुबनी पेंटिंग और सिंगिंग बाउल एन्सेम्बल की विभिन्न श्रेणियों में दो गिनीज विश्व रिकॉर्ड बनाए गए।","अरुणाचल प्रदेश","झारखंड","बिहार","ओडिशा"
"33","किस जिले के जिलाधिकारी शशांक शुभंकर को 17वें सिविल सेवा दिवस के अवसर पर प्रधानमंत्री पुरस्कार 2023 से सम्मानित किया गया है।","नालंदा","गया","बेगूसराय","पटना"
"34","बिहार के पटना में आयोजित सेपक टकरा विश्व कप 2025 में भारत ने पदक जीता।","स्वर्ण","रजत","कांस्य","Nota"
"35","केंद्रीय मंत्रिमंडल ने की कोसी मेची अंतः राज्यीय लिंक परियोजना को प्रधानमंत्री कृषि सिंचाई योजना-त्वरित सिंचाई लाभ कार्यक्रम (PMKSY-AIBP) के अंतर्गत शामिल करने को मंजूरी दी।","अरुणाचल प्रदेश","झारखंड","बिहार","ओडिशा"
"36","बाबू वीर कुंवर सिंह की जयंती शौर्य दिवस कब मनाया गया?","20 अप्रैल","21 अप्रैल","22 अप्रैल","23 अप्रैल"
"37","बिहार में पहली बार आयोजित 'मुख्यमंत्री खेल ज्ञानोत्सव 2025' क्विज प्रतियोगिता का आयोजन कहाँ किया गया?","नालंदा","गया","बेगूसराय","पटना"
"38","बिहार के स्वास्थ्य मंत्री मंगल पांडेय ने स्वास्थ्य संस्थानों में कब से कब तक 'अग्नि सुरक्षा सप्ताह' मनाया जाएगा?","21 से 26 अप्रैल","21 से 28 अप्रैल","20 से 25 अप्रैल","21 से 29 अप्रैल"
"39","मुख्यमंत्री नीतीश कुमार ने वैभव सूर्यवंशी कों कितना नकद पुरस्कार देने की घोषणा की है?","05 लाख रुपये","10 लाख रुपये","20 लाख रुपये","50 लाख रुपये"
"40","बिहार का प्रसिद्ध ""सोनपुर पशु मेला” तीन दो नदियों के संगम पर आयोजित किया जाता है ?","गंडक और गंगा","गंगा और कोसी","महानन्दा और गंडक","गंडक और कोसी"
"41","पैरिस ओलंपिक 2024 में निशानेबाज़ी में भारत का प्रतिनिधित्व करने वाली श्रेयसी सिंह किस क्षेत्र से विधायक हैं ?","जमुई","झंझारपुर","जहानाबाद","बेगूसराय"
"42","हाल ही में बिहार के किस जिले में देश की सबसे बड़ी बैटरी भंडारण सोर परियोजना शुरू करने की घोषणा की गई है?","मुंगेर","लखीसराय","मधुबनी","भोजपुर"
"43","बिहार का 19th आर्थिक सर्वेक्षण किसने प्रस्तुत किया है ?","नीतीश कुमार","सम्राट चौधरी","विजय सिन्हा","विजेंद्र यादव"
"44","बिहार सरकार द्वारा बजट 2025-26 के अनुसार सर्वाधिक खर्च किस क्षेत्र में किया जाएगा?","शिक्षा","स्वास्थ्य","सड़क","गृह विभाग"
"45","शौर्य वेदनाम उत्सव या “अपनी सेना को जानो “ अभियान का शुभारंभ किस जिले में किया गया है?","पूर्वी चंपारण","पश्चिम चंपारण","भोजपुर","नालंदा"
"46","हाल ही में “वाल्मीकि महोत्सव 2025” का उद्घाटन किसके द्वारा किया गया है ?","नीतीश कुमार","सम्राट चौधरी","विजय सिन्हा","विजेंद्र यादव"
"47","ET Government DigiTech Awards 2025 में बिहार सरकार के कृषि विभाग को ""कृषि और किसान सशक्तिकरण के लिए सूचना प्रौद्योगिकी पहल” श्रेणी में कौन सा पदक मिला है?","स्वर्ण पदक","रजत पदक","कांस्य पदक","NOTA"
"48","बिहार सरकार ने बाल विवाह को रोकने और उन्मूलन के लिए किसकी अध्यक्षता में एक टास्क फोर्स गठित किया है?","मुख्यमंत्री","राज्यपाल","मुख्य सचिव","गृह मंत्री"
"49","बिहार का चौथा ऑपरेशनल एयरपोर्ट कहाँ बनेगा?","पूर्वी चंपारण","पश्चिम चंपारण","पूर्णिया","नालंदा"
"50","बिहार सरकार ने महिलाओं को सुरक्षित और आरामदायक सफ़र देने के लिए किन शहरों में “पिंक बस सेवा” शुरू करने की घोषणा की है?","पटना, पूर्णिया","मुज्जफपुर, भागलपुर","पूर्णिया, दरभंगा","All of these 5"
"51","22 मार्च 2025 बिहार में कौन सा स्थापना दिवस मनाया गया है?","111th","112th","113th","114th"
"52","बिहार के उद्योग मंत्री ने बक्सर और में स्पेशल इकोनॉमिक जोन (SEZ) करने की घोषणा की गई है।","पूर्वी चंपारण","पश्चिम चंपारण","पूर्णिया","नालंदा"
"53","गौरैया दिवस के अवसर पर “द गौरैया बिहार” मोबाइल एप्लिकेशन किसने लॉच किया है ?","सम्राट चौधरी","विजय सिन्हा","विजेंद्र यादव","डॉ सुनील कुमार"
"54","हाल ही में दरभंगा अंतर्राष्ट्रीय चलचित्र उत्सव 2025 के किस संस्करण का आयोजन किया गया है?","आठ","बारह","दस","ग्यारह"
"55","हाल ही में बिहार के किस ज़िले के 300 वर्ष पुराने स्टोन आर्ट को GI TAG प्रदान किया गया है?","गया","मुंगेर","मधुबनी","भोजपुर"
"56","38वें राष्ट्रीय खेल में बिहार ने कुल कितने पदक जीता है?","8","9","10","12(1 gold 🥇 lawn ball, 6 silver 🥈,5 🥉)"
"57","भारतीय विमानपत्तन प्राधिकरण द्वारा बिहार के किस स्थान से नए एयरपोर्ट के निर्माण को मंजूरी प्रदान किया है ?","नौबतपुर","आरा","दानापुर","बिहटा"
"58","बौद्ध महोत्सव 2025 का आयोजन कहाँ हुआ है?","नौबतपुर","बोधगया","दानापुर","पावापुरी"
"59","बिहार के किस ज़िले में राज्य वुशू चैंपियनशिप -2025 का आयोजन कहाँ हुआ है?","मुंगेर","मधुबनी","पटना","मुज्जफ़रपुर"
"60","38वें राष्ट्रीय खेल में बिहार के कितने खिलाड़ि शामिल हुए हैं?","112","130","145","150"
"61","बिहार सरकार ने घरेलू हिंसा से प्रभावित महिलाओं को सहायता प्रदान करने के लिए राज्य में कितने पूर्णकालिक 'संरक्षण अधिकारी' नियुक्त किए हैं ?","112","130","140","150"
"62","बिहार के किस नंबर के राज्यपाल के रूप में आरिफ मोहम्मद ख़ान शपथ ग्रहण लिया है?","39","40","41","42"
"63","ब्रिटेन की रॉयल मिंट ने किस जिले में जन्मे जॉर्ज ऑरवेल की 75वीं पुण्यतिथि के अवसर पर सिक्का जारी किया है?","पूर्वी चंपारण","पश्चिम चंपारण","भोजपुर","नालंदा"
"64","बिहार के किस ज़िले में स्थित पहले खेल विश्वविद्यालय को UGC मान्यता प्रदान किया है?","पूर्वी चंपारण","पश्चिम चंपारण","भोजपुर","नालंदा"
"65","गणतंत्र दिवस परेड में बिहार की झांकी में क्षेत्र की समृद्ध सांस्कृतिक विरासत के रूप में किसे प्रतीकात्मक रूप से प्रदर्शित किया गया था ?","बोधिवृक्ष","नालंदा विश्वविद्यालय","बराबर की पहाड़ी","A & B"
"66","बिहार शिक्षा विभाग द्वारा जारी नए मानदंड के अनुसार प्राथमिक विद्यालयों में प्रधानाध्यापक सही कम से कम कितने शिक्षक होना चाहिए ?","4","5","6","8"
"67","केन्द्रीय शिक्षा और रक्षा मंत्रालय द्वारा आयोजित वीरगाथा प्रोजेक्ट -4, के लिए बिहार से कुल कितने बच्चों का चयन किया गया है ?","आठ","नौ","दस","ग्यारह"
"68","विज्ञान प्रौद्योगिकी और तकनीकी शिक्षा मंत्रालय बिहार सरकार द्वारा निम्नलिखित में से किस जिले में तारामंडल के स्थापना नहीं करने की घोषणा की गई है?","जमुई","पूर्णिया","पूर्वी चम्पारण","भागलपुर"
"69","हाल ही में घोषित पद्म पुरस्कारों में बिहार के कितने विभूतियों को पद्म पुरस्कार 2025 से सम्मानित किया गया है ।padma vibhushan 🥇 sarda sinha art;padma bhushan 🥈 sushil modi sewa; padmashri 5🥉 art-3.nirmala devi; hemant kumar; vijay nityanand. samajsewa2-bhimsingh;acharya kishore","6","7","9","11"
"70","किस राज्य में मखाना बोर्ड का गठन किया जाएगा?","उत्तराखंड","महाराष्ट्र","बिहार","झारखंड"
"71","महिला कबड्डी विश्व कप 2025 का आयोजन कहां होगा?","पटना","भागलपुर","गया","राजगीर"
"72","राष्ट्रीय डाक प्रदर्शनी BIPEX-2024 का आयोजन कहां हुआ?","पटना","भागलपुर","गया","राजगीर"
"73","बिहार के किस जिले में स्थित माँ जानकी की जन्मस्थली पुनौराधाम के पर्यटकीय विकास के लिए बिहार सरकार द्वारा 110 करोड़ से अधिक की राशि स्वीकृत की गयी है ?","भागलपुर","गया","राजगीर","सीतामढ़ी"
"74","आकांक्षी जिला कार्यक्रम में बिहार के किस जिले को स्वास्थ्य पोषण और कृषि के मामले में पुरे देश में पहला स्थान मिला है ?","मुज्जफरपुर","पटना","भागलपुर","मुंगेर"
"75","बिहार में अटल नवीकरण और शहरी परिवर्तन मिशन (अमृत) 2.0 के तहत चल रही 64 परियोजनाओं में से सबसे अधिक 9 परियोजनाएँ किस जिले में चल रही हैं ?","muzaffarpur","पूर्वी चम्पारण","पटना","भागलपुर"
"76","वर्ष 2024 का वाटर ट्रांस्वर्सेलिटी ग्लोबल अवार्ड किस क्षेत्र में बेहतर प्रदर्शन के लिए बिहार का चयन किया गया है ?","जलवायु अनुकूल कृषि कार्यक्रम में","तकनीक अनुकूल कृषि कार्यक्रम में","वित्तीय सहायता अनुकूल कृषि कार्यक्रम में","वैश्विक आवश्यकता अनुकूल उत्पादन कार्यक्रम में"
"77","बिहार के किस ज़िले में क्रेडिट आउटरीच कार्यक्रम का आयोजन किया गया है ?","रोहतास","मधुबनी","पटना","मुजफ्फरपुर"
"78","हाल ही में बिहार सरकार ने दो दिवसीय ‘मखाना महोत्सव' का आयोजन कहा किया है ?","हैदराबाद","नई दिल्ली","बेंगलुरू","मुंबई"
"79","भारतीय पुरातत्व सर्वेक्षण ने मौर्य साम्राज्य से जुड़े '80 स्तंभों वाला सभा भवन' की खुदाई कहाँ पर किया है?","मलाहीपकड़ी","कंकड़बाग","बिहटा","कुम्हरार"
"80","महावीर कैंसर संस्थान से जुड़े वैज्ञानिकों ने बिहार के किस नदी के पानी के कारण कैंसर का ख़तरा का अध्ययन किया है?","फल्गु नदी","पुनपुन नदी","सोन नदी","गंगा नदी"
"81","बिहार सरकार ने सुपर स्पेशियालिटी आई हॉस्पिटल स्थापित करने के लिए किस हॉस्पिटल के साथ समझौता किया है?","शंकर आई हॉस्पिटल","सीएमसी बंगलौर","एम्स पटना","मेदांता"
"82","इमर्जिंग स्टेट प्रमोटेड स्पोर्ट्स श्रेणी में हाल ही में किस राज्य को सम्मानित किया गया है।","बिहार","उत्तर प्रदेश","झारखंड","छत्तीसगढ़"
"83","बिहार का राज्यपाल किसे बनाया गया है?","राजेंद्र विश्वनाथ अर्लेकर","संतोष गंगवार","बी डी मिश्रा","आरिफ मोहम्मद खान"
"84","राष्ट्रीय गौरव सम्मान-2024 से किसे सम्मानित किया गया है?","प्रीति सुमन","सुमन कुमारी","कुणाल किशोर","शारदा सिन्हा"
"85","राजस्व कायों के निष्पादन के आधार पर सभी 38 जिलों की रॅकिंग जारी की है, जिसमें पहले स्थान पर है।","भागलपुर","बांका","पटना","रोहतास"
"86","मैथिली निबंध श्रेणी ""प्रबंध संग्रह"" के लिए साहित्य अकादमी पुरस्कार-2024 किसे दिया गया है?","जीवन झा","महेन्द्रुमलंगिया","गोविन्द दास","आनंद झा"
"87","43 वें भारतीय अंतराष्ट्रीय व्यापार मेले में बिहार मंडप के माध्यम से बिहार की कला संस्कृति और विरासत को हाल में प्रदर्शित किया गया, जिसके लिए बिहार को गोल्ड मैडल से सम्मानित किया गया| बिहार मंडप की थीम क्या थी ?","बिहार की विकास यात्रा","आगे बढ़ता बिहार","सौन्दर्य का केंद्र बिहार","विकसित बिहार 2047"
"88","खेलो इंडिया यूथ गेम्स 2025 की मेजबानी कौन सा राज्य करेगा?","झारखंड","बिहार","उड़ीसा","छत्तीसगढ़"
"89","ग्रामीण क्षेत्रों में महिलाओं को सशक्त बनाने के लिए बिहार सरकार ने किस पहल को मंजूरी दी है?","महिला विश्वास","महिला यात्रा","महिला शशक्तीकरण","महिला संवाद"
"90","कॉमन कैट स्नेक की खोज बिहार में कहाँ हुई?","वाल्मीकि टाइगर रिजर्व","नागी पक्षी अभयारण्य","नकटी पक्षी अभयारण्य","Nota"
"91","बिहार के उस क्रिकेटर का नाम क्या है जिसने मात्रा 13 वर्ष में हाल में संपन्न आईपीएल ऑक्शन में सबसे युवा आईपीएल खिलाडी बनने का गौरव हासिल किया है ?","वैभव सूर्यवंशी","मुकेश कुमार","ईशांत सिंह","ईशान किशन"
"92","गाँधी जयंती के मौके पर मुख्यमंत्री नीतीश कुमार ने राष्ट्रपिता महात्मा गाँधी को समर्पित बापू टावर का उद्घाटन किया। यह देश का पहला भवन है, जिसके बाहरी भाग पर टन तांबे का आवरण लगा है।","20","30","40","60"
"93","स्वच्छता ही सेवा 2024 में बिहार को पुरे देश में जन भागीदारी तथा कचरा इकाइयों की सफाई में कौन सा स्थान प्राप्त किया है।","प्रथम","द्वितीय","तीसरी","चौथी"
"94","राज्य में कितने कृषि यंत्र बैंक बनाये जाएंगे। केंद्र सरकार ने खेती में कृषि यंत्रों का इस्तेमाल बढ़ाने के लिए 20 करोड़ रूपये अलग से आवंटन कर दिया है।","500","700","800","1000"
"95","बिहार के उद्योग मंत्री नीतीश मिश्रा ने 21 अक्टूबर को राज्य की राजधानी पटना के पास शहर में राज्य के पहले सूखे बंदरगाह का उद्घाटन किया।","बिहटा","आरा","दानापुर","दरभंगा"
"96","बिहार विकास मिशन ने 7 निश्चय पार्ट 1 और पार्ट 2 को कामयाब करने में जिलों की रैंकिंग जारी की। पहले नंबर पर रहा, तो मधुबनी सबसे पीछे रहा।युवा शक्ति – बिहार की प्रगति
सशक्त महिला – सक्षम महिला 
हर खेत तक सिंचाई का पानी 
स्वच्छ गाँव – समृद्ध गाँव
स्वच्छ शहर -विकसित शहर 
सुलभ संपर्कता/ कनेक्टिविटी होगी और आसान
सबके लिए अतिरिक्त स्वास्थ्य सुविधा","रोहतास","मधुबनी","पटना","अररिया"
"97","महिलाओं के लिए 'निडर नारी प्रोजेक्ट' बिहार में शुरू कर दी गई है। महिलाओं को 'सुरक्षित सफर सुविधा ' देने वाला बिहार राज्य बना। बिहार से पहले हरियाणा और तेलंगाना में यह सुविधा महिलाओं को दी जा रही है।","प्रथम","दूसरा","तीसरा","चौथा"
"98","GST संग्रह में शीर्ष पांच राज्यों में बिहार शामिल है। राज्य के जीएसटी संग्रह में कितने प्रतिशत की बढ़ोतरी है, यह राष्ट्रीय औसत 13 प्रतिशत के तुलना में 5 प्रतिशत अधिक है।","18 प्रतिशत","15 प्रतिशत","19 प्रतिशत","24 प्रतिशत"
"99","केंद्रीय बजट 2024-25 में बिहार के किस ज़िले में विष्णुपद मंदिर और बोधगया में महाबोधि मंदिर के लिये कॉरिडोर परियोजनाओं को विकसित करने की योजना प्रस्तुत की गई।","नवादा","नालंदा","गया","मधुबनी"
"100","पीरियोडिक लेबर फॉर्स सर्वे 2023 – 24 के मुताबिक, बिहार में बेरोजगारी दर है। वहीं मध्य प्रदेश देश का एक मात्र राज्य है, जहाँ बेरोजगारी दर 1% से भी कम (0.9%) है।","3%","4%","5%","6%"
"101","उत्तर बिहार में बाढ़ रोकने के लिए 4 नदियों पर बराज बनेंगे। केंद्र सरकार के सहयोग से चयनित एजेंसी के द्वारा गंडक नदी पर अरेराज, कोसी नदी पर डागमारा, बागमती नदी पर ढंग और महानंदा नदी पर में बराज बनाई जाएगी।","मनेर","मसान","केसरिया","जलालपुर"
"102","शाही लीची, भागलपुरी ज़रदालू आम, कतरनी चावल, मरीचा चावल, मगही पान के अलावा बिहार को निम्नलिखित में से किस उत्पाद पर जीआई टैग प्राप्त है?","लिट्टी चोखा","सोनाचूर चावल","मखाना","मालदा आम"
"103","हाल ही में बिहार के किस ज़िले में अडानी समूह की अम्बुजा सीमेंट लिमिटेड ने 16 सौ करोड़ रुपया की निवेश किया है ?","गया","मुंगेर","पटना","नवादा"
"104","बिहार में तीन नए औद्योगिक क्षेत्र बनाए जाएंगे, कौन सा औद्योगिक क्षेत्र इसमें शामिल नही है?","गया","मुंगेर","नालंदा","बेगूसराय"
"105","केंद्र सरकार के नेशनल इंडस्ट्रियल कॉरिडोर डेवलपमेंट प्रोग्राम के तहत बिहार के किस शहर में 1670 एकड़ में औद्योगिक पार्क स्थापित करने का योजना है","दरभंगा","मोतिहारी","गया","मुंगेर"
"106","केंद्रीय शिक्षा मंत्रालय ने राष्ट्रीय शिक्षक पुरस्कार 2024 के लिए बिहार के कितने शिक्षकों का चयन किया है ?","दो- minakshi, sikandar suman","चार","छः","आठ"
"107","राष्ट्रीय खेल दिवस के अवसर पर बिहार के मुख्यमंत्री ने राज्य की पहली खेल अकादमी और बिहार खेल विश्वविद्यालय का उद्घाटन किया, जो में अंतर्राष्ट्रीय खेल परिसर का उद्घाटन किया है।","राजगीर","मोतिहारी","गया","मुंगेर"
"108","जिले को राष्ट्रीय बाल अधिकार संरक्षण आयोग की ओर से सर्वश्रेष्ठ प्रदर्शन करने वाले ज़िले को पुरस्कार प्रदान किया गया है ?","भागलपुर","नवादा","नालंदा","मुज़फ़्फ़रपुर"
"109","खेतों में कीटनाशक और खाद के छिड़काव के लिए ड्रोन ख़रीदने पर राज्य सरकार ने किसानों को कितना प्रतिशत अनुदान देने की घोषणा की है?","40 प्रतिशत","50 प्रतिशत","60 प्रतिशत","80 प्रतिशत"
"110","पंचायती राज मंत्री केदार प्रसाद गुप्ता ने पंचायत वन महोत्सव के अंतर्गत प्रदेश में कितने पौधे लगाने का लक्ष्य रखा है ?","3,50,000","4,50,000","5,50,000","6,50,000"
"111","पर्यावरण वन और जलवायु परिवर्तन मंत्री डॉक्टर प्रेम कुमार ने ज़िले में ब्रह्म योगिनी पहाड़ पर हरियाली अभियान की शुरुआत की है।","राजगीर","मोतिहारी","गया","मुंगेर"
"112","बिहार की खास कहानी, पटकथा, और चित्रण पर आधारित फ़िल्मों को कुल निर्माण लागत का 50% या 2 करोड़ रुपये, जो भी कम हो, प्रोत्साहन राशि दी जाएगी. टीवी धारावाहिकों के लिए प्रोत्साहन राशि 1 करोड़ रुपये या कुल उत्पादन लागत का 25% होगी. उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1 और 2","केवल 2 और 3","केवल 1 और 3","उपरोक्त मे से सभी सही है।"
"113","मुख्यमंत्री नीतीश कुमार ने अनुसूचित जाति जनजाति अल्पसंख्यक महिलाओं और युवाओं के लिए मुख्यमंत्री उद्यमी योजना चलायी है इसके अंतर्गत कितने लाख रुपये की सहायता राशि दी जाएगी","5 लाख","10 लाख","15 लाख","20 लाख"
"114","इस वर्ग के छात्र छात्राओं में विज्ञान एवं गणित के प्रति रुचि जगाने के लिए सरकारी स्कूलों में माइक्रो इंप्रूवमेंट प्रोजेक्टर योजना 15 अगस्त 224 को शुरू की गई है ?","कक्षा 1-5","कक्षा 4-8","कक्षा 6-8","कक्षा 8-10"
"115","केंद्रीय बजट में बिहार में रेलवे की आधारभूत संरचना के विकास के लिए इतने करोड़ रुपया का प्रावधान किया गया है?","5033","8033","10033","12033"
"116","बजट 2024 में पूर्वोदय योजना की घोषणा की है। इसमें बिहार, झारखंड, पश्चिम बंगाल, ओडिशा और कौन सा राज्य शामिल हैं?","आंध्रा प्रदेश","असम","तमिलनाडु","तेलंगाना"
"117","मधुबनी की को नेपाली भाषा के उपन्यास नीलकंठ का मैथिलि अनुवाद करने के लिए 2023 का साहित्य अकादमी अनुवाद पुरस्कार मिला है।","मेनका मल्लिक","मैथिली ठाकुर","बैजनाथ झा","अभय कुमार"
"118","केंद्रीय बजट 2024 में कोसी नदी के जल का दोहन और उपयोग करने के लिए रुपये आवंटित किए गए हैं।","11,500 करोड़","12,500 करोड़","13,500 करोड़","14,500 करोड़"
